12;GEOES;Paranoá/Itapoã;"Quadra 05 Área Especial ""D"" Lotes 01 e 02";Terracap;Cedido;-;-;
13;;Asa Sul;Avenida das Nações S/N;Próprio;Regularizado;116.469;9.737;
14;GELES;NUGAM;Gama;AV. Contorno A/E 2 Setor Norte – Gama;Próprio;Regularizado;80.000;-
15;;NURIF;Riacho Fundo I;QN. 09, Área Especial 03, Lote 06 – Ad. Riacho Fundo;Administração Regional do Riacho Fundo I;Empréstimo;-;-
16;;NUSAM;Samambaia;Área Especial, s/nº QS 302 - Centro Urbano - Samambaia Sul;Administração Regional de Samambaia;Empréstimo;-;-
17;;Santa Maria;"CL 408, Bloco ""A"" Área Especial - Santa Maria Sul";Administração Regional de Santa Maria;Empréstimo;-;-;
18;Terrenos;NUALM/NUPAT;Brasília;Setor de Áreas isoladas norte (SIA/NORTE);Próprio;Regularizado;50.000;4.150
19;;Terreno;Núcleo Bandeirante;Área Especial n° 06 do Setor Avenida Contorno do Núcleo Bandeirante-DF (Desocupado - 542 m² cedidos à Secriança);Próprio;Regularizado;1.543;-
20;;Terreno;Águas Claras;Lote 24, Avenida Jacarandá;Próprio;Regularizado;6.931;-
21;;Terreno;Gama;Área Reservada n° 01 Setor Leste Gama – DF (Desocupado);Próprio;Regularizado;4.800;-
22;;Terreno;Samambaia;QS 427, Área Especial Lote 04, Expansão da Samambaia (O terreno da Samambaia já foi transferido da Secretária de obras para Seduma);-;Processo Regularização;7.727;-
;Sede;Núcleo;RA;Endereço;Propriedade;Situação;Área total;Área Construída
;;;;;;;m²;m²
23;Aterros;Aterro Sanitário de Brasília;Samambaia;DF 180 - Km 51,5;Secretaria de Infraestrutura e Serviços Públicos;Processo Regularização 0110- 000193/2016;760.000;1.537
24;;URE;SCIA/Estrutural;AE. Quadra 15, Conj. C1;Terracap;Processo Regularização 00111- 00016598/2017-01;123.710;1.058
