IRRs E CTRs GERIDAS PELO SLU;;;;;;;;;;;
;Nº;;;Unidade SLU;;;Endereço;;;Associação/ Cooperativa;
1;;;CTR 1;;;SCIA, Pátio Ferroviário, CTR 1;;;Ambiente;;
;;;;;;;;;Coopernoes;;
;;;;;;;;;Recicla Brasília;;
2;;;SCIA;;;SCIA, Quadra 09, Conj. 01, Lote 02;;;Cooperfé;;
;;;;;;;;;Cortrap;;
3;;;CTR 2;;;SCIA, Pátio Ferroviário, CTR 2;;;Construir;;
;;;;;;;;;Recicla Brasília;;
;;;;;;;;;Coorace;;
4;;;P Sul;;;QNP 28 Área Especial – P Sul s/nº Área da Usina do SLU, CEP - 72235-816;;;Coopere;;
;;;;;;;;;Plasferro;;
5;;;SAAN;;;SAAN QUADRA 2, LOTE 650;;;Cootraempocap - ASAS;;
;;;;;;;;;Cooperlimpo 2;;
6;;;SCIA ALUGADO;;;SCIA Quadra 10, Conjunto 01 Lotes 2 e 3 - Brasília – DF;;;Ambiente;;
7;;;Brazlândia;;;AE – n° 02 Lotes I a L – Setor Norte – Área de transbordo do SLU;;;Acobraz;;
8;;;Paranoá ²;;;Qd. 5 Coj. D Lote 1 e 2 – Paranoá/DF;;;Recicla Mais Brasil;;
9;;;SIA ¹;;;SIA Trecho 17, RUA 8, LOTE 105;;;Coopativa;;
;;;;;;;;;Renascer;;
10;;;Sobradinho;;;Quadra 04, Rua D, Lotes 7/8, Setor de Indústria - Sobradinho/DF;;;Cooperdife;;
11;;;Usina de Tratamento Mecânico biológico - Asa Sul;;;L4 Sul, AE - UTL - USINA Asa Sul - Brasília/DF;;;Renove;;
;;;;;;;;;Cooperlimpo;;
12;;;Usina de Tratamento Mecânico biológico - P Sul;;;QNP 28 AE - UTMB - USINA Ceilândia/DF;;;Apcorc;;
;;;;;;;;;Cataguar;;
