;UTMB ASA SUL - UNIDADE DE TRATAMENTO MECÂNICO BIOLÓGICO - ASA SUL;;;;;;;
;Mês;;;Operação e Manutenção;;;Custo por tonelada*;
;Janeiro;;R$ 759.009,13;;;R$ 76,15;;
;Fevereiro;;R$ 683.349,54;;;R$ 76,15;;
;Março;;R$ 845.889,22;;;R$ 76,15;;
;Abril;;R$ 695.463,40;;;R$ 79,56;;
;Maio;;R$ 753.694,34;;;R$ 81,20;;
;Junho;;R$ 678.862,04;;;R$ 81,20;;
;Julho;;R$ 266.255,98;;;R$ 84,62;;
;Agosto;;R$ 555.990,81;;;R$ 84,62 / R$ 76,46;;
;Setembro;;R$ 659.470,56;;;R$ 76,46;;
;Outubro;;R$ 687.632,31;;;R$ 76,46;;
;Novembro;;R$ 712.901,57;;;R$ 76,46;;
;Dezembro;;R$ 626.429,90;;;R$ 76,46;;
;TOTAL;;;R$ 7.924.948,80;;;-;
;Média;;;R$ 609.611,45;;;-;
