;QUANTITATIVOS MENSAIS RECEPCIONADOS NO ASB;;;;;;;;;;;;;;;;;;;;
;;;;Res. sól. Domiciliares;;Caixa de gordura (Kg);;;Animais mortos (Kg);;;Caesb (Kg);;;Grandes Geradores (Kg);;;Lodo tratado chorume (Kg);Total (t);;
;;;;(Kg);;;;;;;;;;;;;;;;;
;Janeiro;;64.016.500;;;6.840;;;5.680;;;1.745.490;;;2.681.760;;;-;;68.456,27;
;Fevereiro;;59.091.020;;;7.720;;;4.940;;;848.930;;;2.325.900;;;-;;62.278,51;
;Março;;60.506.660;;;6.540;;;5.200;;;873.750;;;2.718.960;;;-;;64.111,11;
;Abril;;64.415.360;;;6.820;;;5.790;;;1.475.210;;;2.287.460;;;-;;68.190,64;
;Maio;;58.515.660;;;5.390;;;5.900;;;476.830;;;3.579.430;;;-;;62.583,21;
;Junho;;51.013.360;;;6.120;;;3.050;;;1.384.590;;;2.042.290;;;-;;54.449,41;
;Julho;;54.634.940;;;7.260;;;5.640;;;1.144.050;;;2.098.570;;;4.830;;57.895,29;
;Agosto;;55.499.900;;;7.530;;;7.540;;;874.800;;;2.022.400;;;161.470;;58.573,64;
;Setembro;;54.398.510;;;5.440;;;5.600;;;865.960;;;1.860.240;;;287.690;;57.423,44;
;Outubro;;64.787.410;;;7.810;;;4.990;;;1.087.980;;;1.922.100;;;112.130;;67.922,42;
;Novembro;;65.061.530;;;6.970;;;6.850;;;964.320;;;1.913.920;;;-;;67.953,59;
;Dezembro;;68.015.340;;;7.400;;;8.510;;;1.720.980;;;1.720.980;;;-;;71.473,21;
;TOTAL;;;719.956.190;;;81.840;;;69.690;;;13.462.890;;;27.174.010;;566.120;;761.310,7;
