;2º TRIMESTRE;;;;;;;;;;
;TIPO;;;EVENTO;;;INSTITUIÇÃO;;;PARTICPANTES;
CURSO;;;Acordo Ortográfico da Língua Portuguesa;;;EGOV;;;;2;
;;;Aplicação da gestão de riscos na visão da Nova Lei de Licitações;;;;;;2;;
;;;Apresentação sobre a Resolução n.º 05, de 27 de junho de 2023, que dispõe sobre as normas de funcionamento e de rito processual no âmbito das Comissões de Ética;;;;;;1;;
;;;Assédio na Administração Pública – Combate e Prevenção;;;;;;1;;
;;;Atendimento ao Público;;;;;;1;;
;;;Atualização em Gramática da Língua Portuguesa;;;;;;1;;
;;;Boas Práticas em Língua Portuguesa e Redação;;;;;;1;;
;;;Curso Prático de Orçamento e Execução Financeira;;;;;;1;;
;;;Desenvolvimento de competências gerenciais;;;;;;1;;
;;;Ética e integridade;;;;;;1;;
;;;Gestão do conhecimento;;;;;;1;;
;;;Gestão e Fiscalização de Contratos;;;;;;1;;
;;;IA e Novas Tecnologias no Poder Público: Uso Ético e Proteção de Dados desde a Concepção;;;;;;1;;
;;;III Encontro Anual de Qualidade de Vida no Trabalho;;;;;;6;;
;;;Implementação da Nova Lei de Licitações e Contratos – Lei nº 14.133/2021;;;;;;1;;
;;;Implementação no Ciclo de Política Pública - 3º trilho - Trilha de Políticas Públicas;;;;;;1;;
;;;Informática – Excel intermediário, com introdução ao PowerBI;;;;;;1;;
;;;Intensivo para elaboração da Lei Orçamentária Anual para 2026 (LOA/2026);;;;;;1;;
;;;Lei Geral de Proteção de Dados;;;;;;2;;
