;CONTRATOS E RESULTADOS DA COLETA SELETIVA INCLUSIVA POR COOPERATIVA/ASSOCIAÇÃO;;;;;;;;;;;;;
;COOPERATIVA;;;Nº DO CONTRATO;;;VALOR DO CONTRATO (ANUAL);;;VALOR PAGO EM 2023 ¹;;;RA ATENDIDA;
;Construir;;23/2022;;;R$ 477.851,04;;;R$ 465.405,99;;;RA XXX – Vicente Pires (Colônia Agrícola Samambaia);;
;Cooperdife;;08/2022;;;R$ 683.872,20;;;R$ 662.729,05;;;RA V – Sobradinho I;;
;Coopere;;15/2022;;;R$ 656.363,88;;;R$ 635.154,40;;;RA XVII – Riacho Fundo I e RA XXI – Riacho Fundo II;;
;Coopernoes;;28/2022;;;R$ 484.615,56;;;R$ 469.540,28;;;RA XXV – SCIA/Estrutural (SCIA);;
;Cortrap;;20/2022;;;R$ 612.606,60;;;R$ 584.776,82;;;RA XVII – Jardim Botânico (I);;
;CRB;;18/2022;;;R$ 568.848,96;;;R$ 517.946,38;;;RA IV – Brazlândia;;
;CRV;;11/2022;;;R$ 543.844,68;;;R$ 524.032,96;;;RA XVIII – Lago Norte e RA XXIII – Varjão;;
;CTELS;;29/2022;;;R$ 448.828,08;;;R$ 393.256,66;;;RA XIII – Arniqueira;;
Ecolimpo;;;10/2022;;;R$ 592.609,20;;;R$ 570.705,03;;;RA XVI – São Sebastião (Jardins Mangueiral/Jardim Botânico);;
;Flor do Cerrado;;25/2022;;;R$ 647.612,64;;;R$ 630.268,07;;;RA VI – Planaltina (II);;
;Nova Superação;;27/2022;;;R$ 452.189,52;;;R$ 440.756,14;;;RA XXIX – SIA;;
Planalto;;;26/2022;;;R$ 552.596,16;;;R$ 534.647,08;;;RA XXVI – Sobradinho II (Setor de Mansões Sobradinho II) e RA XXXI – Fercal;;
;Plasferro;;22/2022;;;R$ 566.790,48;;;R$ 555.407,34;;;RA XVII – Jardim Botânico (III);;
;R3;;16/2022;;;R$ 643.865,04;;;R$ 629.903,77;;;RA XIII – Santa Maria;;
;Recicla Brasília;;12/2022;;;R$ 733.561,20;;;R$ 689.532,90;;;RA XVI – Lago Sul;;
;Recicla Mais Brasil;;24/2022;;;R$ 577.845,48;;;R$ 556.393,22;;;RA VII – Paranoá e RA XXVII – Itapoã;;
;Recicla Mais Brasil II;;09/2022;;;R$ 712.669,92;;;R$ 692.899,91;;;RA XVII – Jardim Botânico (II);;
;Recicla Mais;;21/2022;;;R$ 606.356,76;;;R$ 588.947,26;;;RA VI – Planaltina (I);;
;Recicle a Vida;;17/2022;;;R$ 752.711,52;;;R$ 735.085,42;;;RA XII – Samambaia;;
;Reciclo;;19/2022;;;R$ 450.078,24;;;R$ 435.546,66;;;RA XXIV – Park Way (exceto Q. 3 a 5);;
;Renascer;;14/2022;;;R$ 538.449,48;;;R$ 523.329,65;;;RA XIX – Candangolândia e RA VIII – Núcleo Bandeirante;;
;Vencendo Obstáculos;;13/2022;;;R$ 462.580,44;;;R$ 453.290,22;;;RA XI – Cruzeiro Velho;;
;TOTAL;;;;;;R$ 12.766.747,08;;;R$ 12.289.555,21;;;;
