GALPÃO PRÓPRIO CEILÂNDIA - Cooperativa Recicle a Vida;Mês;;;;Quantidade Mensal Recebida;;;Quantidade Mensal de Rejeito;
;;;;;(Ton);;;(Ton);
;;Janeiro;;64,26;;;5,03;;
;;Fevereiro;;61,42;;;5,08;;
;;Março;;62,41;;;4,67;;
;;Abril;;57,28;;;5,62;;
;;Maio;;73,09;;;6,82;;
;;Junho;;80,96;;;6,9;;
;;Julho;;88,28;;;0;;
;;Agosto;;104,484;;;7,37;;
;;Setembro;;97;;;2,33;;
;;Outubro;;106,44;;;12,7;;
;;Novembro;;105;;;56,52;;
;;Dezembro;;115;;;13,97;;
;;TOTAL;;;1.015,82;;;79,50;
GALPÃO PRÓPRIO SANTA MARIA - Cooperativa R3;Mês;;;;Quantidade Mensal Recebida;;;Quantidade Mensal de Rejeito;
;;;;;(Ton);;;(Ton);
;;Janeiro;;44,84;;;6,76;;
;;Fevereiro;;41;;;6,95;;
;;Março;;44,31;;;7,58;;
;;Abril;;42,45;;;7,38;;
;;Maio;;47,66;;;8,01;;
;;Junho;;61,415;;;10,4;;
;;Julho;;64,64;;;10,41;;
;;Agosto;;64,775;;;10,35;;
;;Setembro;;66,88;;;11,36;;
;;Outubro;;71,44;;;11,03;;
;;Novembro;;62,13;;;11,96;;
;;Dezembro;;67,83;;;19,95;;
;;TOTAL;;;679,37;;;122,14;
GALPÃO PRÓPRIO SÃO SEBASTIÃO -;Mês;;;;Quantidade Mensal Recebida;;;Quantidade Mensal de Rejeito;
;;;;;(Ton);;;(Ton);
;;Janeiro;;24,10;;;5,54;;
;;Fevereiro;;20,70;;;4,51;;
