;TIPO DE DESPESA;;;TOTAL
;Pessoal técnico administrativo;;R$ 72.625;
;Limpeza Pública;;R$ 4.489.544;
;Obras /Materiais Permanentes;;-;
;Outros;;-;
;Manutenção Administrativa;;R$ 1.851.988;
;TOTAL;;;R$ 6.414.157
