Nº;Contrato;Empresa;;Data de;;Objeto;;;Data do término da vigência;Valor (R$);Executores e Suplentes;;
;;;;assinatura/início;;;;;;;;;
;;;;da vigência;;;;;;;;;
1;19/2016;KASI COMÉRCIO E SERVIÇOS EQUIPAMENTOS INFORMÁTICA;23/09/2020;;;Licenciamento de uso de Sistema da Informação (RCC);;;31/01/2022;R$ 825.000,00;EDMUNDO P. GADELHA / GLEICY KELLEN DOS SANTOS FAUSTINO;;
2;17/2020;NCT INFORMATICA LTDA;07/04/2021;;;Renovação de licenciamento de Firewall Fortinet Modelo 200D com suporte, manutenção e garantia por 36 meses;;;22/03/2024;R$ 352.750,00;RAMON LACERDA FONSECA / ANDRÉ WILSON SANTANA PIMENTA;;
3;01/2021;NIVA TECNOLOGIA;18/03/2021;;;;Sistema integrado de segurança;;17/03/2022;R$ 1.448.000,00;;DANIEL ROCHA ALVES /;
;;;;;;;eletrônica;;;;;THAYANE DAS NEVES SOARES;
4;21/2021;P & B SISTEMAS DE SEGURANCA EIRELI;09/09/2021;;;;Prestação de serviços de manutenção e;;08/09/2022;R$ 1.997,90;GERSON GOMES DA SILVA NETO / KEVEN WILLIAM NASCIMENTO DA SILVA;;
;;;;;;;conservação de bens móveis e;;;;;;
;;;;;;;fornecimento de materiais de manutenção;;;;;;
;;;;;;;de bens móveis, equipamento de;;;;;;
;;;;;;;proteção, segurança e socorro;;;;;;
5;24/2021;DENTECK AR CONDICIONADO LTDA;29/10/2021;;;;Aquisição de 60 (sessenta) aparelhos;;29/10/2022;R$ 220.117,18;VITALIA DE OLIVEIRA MORAIS / LUCICLÉIA CASTRO DE OLIVEIRA / CÁSSIO MACIEL LEMOS;;
;;;;;;;de ar condicionado tipo Split, com etiqueta;;;;;;
;;;;;;;de eficiência energética “A” ou;;;;;;
;;;;;;;“B”, instalado, com todo material incluso;;;;;;
