Síntese de palestras, cursos e treinamentos realizados por outros órgãos - 2021;;;;;;;;;;;;;;
;E R T S E M IR T º 1;;TIPO;;;EVENTO;;;ÓRGÃO;;;;N.º DE SERVIDORES;
;;;;;;;;;;;;;CERTIFICADOS;
;;;CURSO;;;Curso a distância: Produtividade e melhoria do clima organizacional (1/2021) - Turma 1;;;EGOV;;;1;;
;;;;;;Curso a distância: Gestão do conhecimento (1/2021) - Turma 1;;;;;;1;;
;;;SUBTOTAL DE SERVIDORES;;;;;;;;;2;;
;E R T S E M IR T º 2;;;PALESTRA;;;Sistema de Ouvidoria e os Mecanismos de Aprimoramento da Qualidade de Serviços;;;SLU;;;24;
;;;CURSO;;;;Curso on-line: Como Elaborar e julgar planilha de formação de preços de acordo com a IN nº;;ZANTINE;;;10;;
;;;;;;;05/2017;;;;;;;
;;;;;;;Curso a distância: Produtividade e Melhoria do Clima Organizacional;;EGOV;;;;3;
;;;;;;;Curso a Distância: Gestão e Fiscalização de Contratos;;;;;;7;
;;;;;;;Videoconferência: Acordo Ortográfico da Língua Portuguesa;;;;;;1;
;;;;;;;Videoconferência: Administração orçamentário, financeiro, patrimonial e contábil;;;;;;1;
;;;;;;;Curso on-line: Assédio na Administração Pública;;;;;;1;
