EVOLUÇÃO DA RECEITA DA TAXA DE LIMPEZA PÚBLICA - FONTE 114;;;;;;;;;
2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
60.457.463;67.477.330;89.260.199;88.899.389;90.503.559;98.620.588;106.351.622;113.585.232;133.964.473;130.782.509
