;;Setembro;;52,99;;;22,13;;
;;Outubro;;50,83;;;22,94;;
;;Novembro;;60,07;;;31,20;;
;;Dezembro;;68,29;;;23,18;;
;;TOTAL;;;752,13;;;324,45;
;;TOTAL;;;4.258,09;;;980,25;
