;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL POR SERVIÇO
lavagem de vias;210.92;1 212.227;217.72;4 217.724;247.546;247.546;270.814;270.814;270.814;188.324;243.944;270.814;2.869.213
lavagem de monumentos;182.73;9 203.947;194.26;7 182.490;226.682;226.682;238.534;238.534;238.534;152.326;179.889;179.889;2.444.512
catação de papéis;1 .251.42;4 1 .273.665;1 .192.35;7 1 .158.657;1 .411.779;1 .535.128;1 .492.856;1 .400.485;1 .589.317;1 .347.415;1 .477.090;1 .430.858;1 6.561.032
pintura de meios-fios;94.11;8 148.036;126.77;0 810.053;1 .259.599;1 .321.004;914.939;798.888;398.815;70.550;8 75;11.377;5.955. 024
serviços diversos;2 .590.75;9 2 .989.342;2 .538.77;5 2 .251.152;2 .704.632;3 .432.051;3 .247.884;3 .302.252;3 .431.844;3 .581.557;3 .330.940;2 .826.046;3 6.227.234
remoção animais mortos;51.88;2 51.882;51.88;2 51.882;62.262;64.730;64.730;64.730;64.730;64.730;64.730;64.730;722.898
transferência de resíduos;1 .145.39;3 1 .013.285;796.38;4 757.068;729.802;756.826;794.648;804.030;769.318;934.971;828.043;913.562;1 0.243.329
compostagem Ceilândia;51.59;8 43.773;48.42;4 49.640;55.010;40.467;44.796;47.722;45.368;44.979;44.734;19.813;536.324
TOTAL MENSAL;5 .578.83;5 5 .936.157;5 .166.58;1 5 .478.666;6 .697.313;7 .624.435;7 .069.200;6 .927.455;6 .808.739;6 .384.852;6 .170.245;5 .717.089;
