Família;Peso (Kg);Total Comercializado (R$);Total pago pelo SLU (R$);Preço Unitário Médio (R$/Kg)
Diversos;690.076,54;R$ 114.808,52;R$ 205.367,68;R$ 0,20
Metal;3.317.120,77;R$ 3.715.094,72;R$ 976.819,03;R$ 6,56
Papel;13.676.410,40;R$ 8.618.309,56;R$ 4.128.031,51;R$ 0,51
Plástico;11.826.977,64;R$ 21.308.546,98;R$ 3.505.756,05;R$ 2,20
Vidro;6.224.601,94;R$ 193.777,11;R$ 1.874.349,78;R$ 0,05
Total Geral;35.735.187,29;R$ 33.950.536,89;R$ 10.690.324,06;R$ 2,54
