7;;;Coopativa;;;Coop.;;;36/2018;;;20;;;SIA - LINHA DO TREM;;;60;;;59,83;;;718,00;;R$ 401,54;;;R$ 24.092,40;;;R$ 24.019,39;;;R$ 264.213,32;;;05/06/2025;;
8;;;Renove;;;Coop.;;;37/2018;;;98;;;Usina Asa Sul;;;250;;;211,98;;;2.543,77;;R$ 327,55;;;R$ 81.887,50;;;R$ 69.352,74;;;R$ 832.232,89;;;05/06/2025;;
9;;;Coopere;;;Coop.;;;11/2018;;;30;;;IRR P SUL;;;90;;;60,82;;;729,88;;R$ 401,46;;;R$ 36.131,40;;;R$ 24.761,50;;;R$ 272.376,53;;;16/01/2025;;
10;;;Coorace;;;Coop.;;;03/2018;;;35;;;CTR 2;;;396;;;250,48;;;3.005,82;;R$ 401,46;;;R$ 158.978,16;;;R$ 100.547,33;;;R$ 1.206.567,90;;;16/01/2025;;
11;;;Plasferro;;;Coop.;;;06/2018;;;74;;;IRR P SUL;;;200;;;201,67;;;2.420,00;;R$ 401,46;;;R$ 80.292,00;;;R$ 81.021,93;;;R$ 891.241,20;;;16/01/2025;;
12;;;Coopernoes;;;Coop.;;;07/2018;;;40;;;CTR 1;;;90;;;90,00;;;1.080,00;;R$ 401,46;;;R$ 36.131,40;;;R$ 36.131,40;;;R$ 433.576,80;;;16/01/2025;;
13;;;Ambiente;;;Assoc.;;;08/2018;;;111;;;CTR 1 e SCIA qd.10;;;500;;;404,41;;;4.852,97;;R$ 401,46;;;R$ 200.730,00;;;R$ 159.856,35;;;R$ 1.918.276,24;;;16/01/2025;;
14;;;Cooperlimpo;;;Coop.;;;09/2018;;;60;;;IRR SAAN e Usina Asa Sul;;;200;;;200,00;;;2.400,00;;R$ 327,48;;;R$ 65.496,00;;;R$ 65.496,00;;;R$ 785.952,00;;;31/01/2025;;
15;;;Cortrap;;;Coop.;;;10/2018;;;40;;;IRR SCIA NOVO (qd. 9);;;85;;;70,78;;;849,37;;R$ 401,46;;;R$ 34.124,10;;;R$ 29.067,94;;;R$ 348.815,22;;;16/01/2025;;
16;;;Construir;;;Coop.;;;12/2018;;;31;;;CTR 2;;;200;;;192,59;;;2.311,08;;R$ 401,46;;;R$ 80.292,00;;;R$ 73.635,46;;;R$ 883.625,53;;;16/01/2025;;
17;;;Recicla Brasilia;;;Assoc.;;;67/2018;;;25;;;CTR 2;;;160;;;147,70;;;1.772,36;;R$ 386,04;;;R$ 61.766,40;;;R$ 57.609,25;;;R$ 633.701,73;;;29/06/2025;;
18;;;Apcorc;;;Assoc.;;;39/2018;;;116;;;Usina P SUL;;;420;;;397,86;;;4.774,35;;R$ 313,44;;;R$ 131.644,80;;;R$ 122.602,64;;;R$ 1.471.231,67;;;09/11/2025;;
19;;;Cootraempocap;;;Coop.;;;11/2021;;;31;;;IRR SAAN;;;200;;;197,32;;;2.367,83;;R$ 410,61;;;R$ 82.122,00;;;R$ 80.624,90;;;R$ 967.498,77;;;28/05/2025;;
20;;;Cooperfé;;;Coop.;;;37/2022;;;45;;;IRR SCIA NOVO (qd. 9);;;200;;;195,67;;;2.348,01;;R$ 353,58;;;R$ 73.540,00;;;R$ 71.990,52;;;R$ 863.886,22;;;29/07/2025;;
;-;;;Total;;;-;;;-;;;1.029;;;-;;;4.011,00;;;3.435,78;;41.229,41;;;;;;R$1.509.769,66;;;R$1.295.267,88;;;R$15.185.808,39;;;-;
