;;;NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 9 - SANTA MARIA;;;
15/2022;COOPERATIVA E TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS E REUTILIZÁVEIS AMBIENTAL - COOPERE;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 08 - RIACHO FUNDO I E II;29/04/2025;R$ 629.999,76 (SEISCENTOS E VINTE E NOVE MIL NOVECENTOS E NOVENTA E NOVE REAIS E SETENTA E SEIS CENTAVOS);FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NILSON DOS SANTOS CALDEIRA, LEONIDES LAINE BAIÃO PIRES, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA, NELSON GONÇALVES PIRES FILHO
14/2022;COOPERATIVA DE CATADORES DE MATERIAIS RECICLÁVEIS- RENASCER;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 7 - CANDANGOLÂNDIA E NÚCLEO BANDEIRANTE;29/04/2025;R$ 516.821,64 (QUINHENTOS E DEZESSEIS MIL OITOCENTOS E VINTE E UM REAIS E SESSENTA E QUATRO CENTAVOS);FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NILSON DOS SANTOS CALDEIRA, LEONIDES LAINE BAIÃO PIRES, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA, NELSON GONÇALVES PIRES FILHO
13/2022;ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVELS VENCENDO OS OBSTÁCULOS;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 6 - CRUZEIRO VELHO;29/04/2025;R$ 444.000,00 (QUATROCENTOS E QUARENTA E QUATRO MIL REAIS);FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NILSON DOS SANTOS CALDEIRA, LEONIDES LAINE BAIÃO PIRES, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA, NELSON GONÇALVES PIRES FILHO
12/2022;ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DO DISTRITO FEDERAL - RECICLA BRASÍLIA;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 5 - LAGO SUL;29/04/2025;R$ 643.200,00 (SEISCENTOS E QUARENTA E TRÊS MIL E DUZENTOS REAIS);FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NILSON DOS SANTOS CALDEIRA, LEONIDES LAINE BAIÃO PIRES, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA, NELSON GONÇALVES PIRES FILHO
11/2022;COOPERATIVA TRABALHO DE RECICLAGEM DO VARJÃO - CRV;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL;29/04/2025;R$ 522.000,12 (QUINHENTOS E VINTE E DOIS MIL REAIS E DOZE CENTAVOS);FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NILSON DOS SANTOS CALDEIRA, LEONIDES LAINE BAIÃO PIRES, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA, NELSON GONÇALVES PIRES FILHO
