;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Lote I;;952,66;;;863,08;;;1.022,31;;;927,50;;;1.045,13;;;919,36;;;831,83;;;919,12;;;624,74;;;766,82;;;773,17;;;708,42;;;;10.354,14;;;862,85;
;Lote II;;319,13;;;220,28;;;295,14;;;227,08;;;257,00;;;182,95;;;170,18;;;248,06;;;208,89;;;242,67;;;272,65;;;226,92;;;;2.870,95;;;239,25;
;Lote III;;797,96;;;682,83;;;845,35;;;709,86;;;787,69;;;708,23;;;788,90;;;868,77;;;660,69;;;704,58;;;735,42;;;641,12;;;;8.931,40;;;744,28;
;Total;;;2.069,75;;;1.766,19;;;2.162,80;;;1.864,44;;;2.089,82;;;1.810,54;;;1.790,91;;;2.035,95;;;1.494,32;;;1.714,07;;;1.781,24;;;1.576,46;;;22.156,49;;;1.846,37;
