;SÍNTESE DE PALESTRAS, CURSOS E TREINAMENTOS REALIZADOS POR OUTROS ÓRGÃOS - 2020;;;
;TIPO;EVENTO;ÓRGÃO;N.º DE SERVIDORES CERTIFICADOS
ERTSEMIRT º1;Curso;Gestão do Tempo e Produtividade;EGOV;1
;;Elaboração de Projeto Básico e Termo de Referência;;1
;;Gestão de Fiscalização e Contratos;;3
;;Administração orçamentária, financeira, patrimonial e contábil, com foco no Sistema Integrado de Gestão Governamental (SIGGo) – Módulo I;;1
;;Sistema Eletrônico de Informações (SEI) – Módulo: Usar;;25
;;Palestra – Planejamento estratégico: trilhando um novo horizonte;;3
;;Formação em Ouvidoria;;3
;;Curso a distância: Acordo Ortográfico Língua Portuguesa;;2
;;Curso a distância: Transparência, ética e controle social;;2
;;Curso a distância: Metodologia de Análise e Solução de Problemas;;2
;Seminário;Grupo de trabalho SES e SLU aos servidores;SES/DF;41
SUBTOTAL DE SERVIDORES;;;;84
ERTSEMIRT º2;Curso;Língua Brasileira de Sinais (Libras) – Módulo básico II;EGOV;2
;;Curso a distância: Acordo Ortográfico da Língua Portuguesa;;8
;;Curso a distância: Gestão de Processos;;1
;;Curso a distância: Transparência, ética e controle social;;2
;;Curso a distância: Formação de formadores;;2
;;Curso a distância: Norma Regulamentadora 32 (NR 32);;1
;;Curso a distância: Atendimento ao Público;;4
;;Curso a distância: Formação em Ouvidoria;;2
;;Curso a distância: Metodologia de Análise e Solução de Problemas;;1
SUBTOTAL DE SERVIDORES;;;;23
