;;;JAN;;FEV;MAR;;ABR;MAI;JUN;;;JUL;;AGO;;SET;OUT;;NOV;;DEZ;Total;Média;
;NURES (Psul);;17.173,09;14.501,78;;16.683,01;14.729,21;;15.286,49;15.163,95;;13.740,50;;;14.077,98;;15.518,88;15.412,94;15.953,40;;16.381,93;;184.623,16;15.385,26;
;NUCOP (L4 Sul);;8.435,88;8.007,93;;7.601,82;6.718,96;;6.448,46;6.559,52;;6.402,03;;;6.822,01;;6.994,39;7.078,61;8.986,52;;9.980,09;;90.036,22;7.503,02;
;Total;;25.608,97;;22.509,71;24.284,83;;21.448,17;21.734,95;21.723,47;;;20.142,53;;20.899,99;;22.513,27;22.491,55;;24.939,92;;26.362,02;274.659,38;22.888,28;
