;Obstáculos;;;;;;;;;;;;;
Coorace;;;;Mar/2021 e;;18.450;;;1.790;;;20.240;;
;;;;Abr/2021;;;;;;;;;;
;Cortrap;;;Abr/21;;;20.730;;;3.580;;;24.310;
;Ambiente;;;Mai/21;;;21.190;;;1.520;;;22.710;
;Acobraz;;;Jun/21;;;17.620;;;2.630;;;20.250;
;CRV*;;;Jul/21;;;-;;;1.130;;;1.130;
;Recicle a;;Ago/21;;;33.350;;;-;;;33.350;;
;Vida*;;;;;;;;;;;;;
;R3;;;Set/21;;;15.180;;;1.190;;;16.370;
;Recicla Mais;;Out/21;;;17.400;;;4.020;;;21.420;;
;Brasil;;;;;;;;;;;;;
Coopere**;;;;Nov/21 e;;28.200;;;1.180;;;29.380;;
;;;;Dez/21;;;;;;;;;;
Cooperdife;;;;Dez/21 e;;24.360;;;-;;;24.360;;
;;;;Jan/21;;;;;;;;;;
;Total (Ton);;;;;;229.270;;;25.750;;;255.020;
