;Gama 2;;5,16;;;51,19;;;266,75;;;144,87;;;163,28;;;156,27;;;176,92;;;132,55;;;164,33;;;186,33;;;177,18;;;154,82;;;;1.779,65;;;148,30;
;Guará 1;;233,24;;;241,81;;;221,86;;;210,38;;;233,32;;;191,60;;;232,94;;;198,48;;;157,15;;;186,35;;;199,70;;;363,86;;;;2.670,69;;;222,56;
;Guará 2;;173,15;;;201,77;;;217,20;;;193,43;;;178,93;;;178,20;;;178,38;;;188,45;;;165,72;;;208,57;;;192,79;;;141,57;;;;2.218,16;;;184,85;
;Paranoá;;159,49;;;151,61;;;145,58;;;202,39;;;175,52;;;197,97;;;162,65;;;181,80;;;188,02;;;188,95;;;159,78;;;229,99;;;;2.143,75;;;178,65;
;Planaltina;;202,15;;;193,11;;;185,94;;;207,57;;;166,44;;;140,04;;;177,82;;;158,16;;;141,24;;;159,25;;;121,96;;;94,73;;;;1.948,41;;;162,37;
;Pôr do Sol;;116,89;;;89,57;;;126,24;;;139,43;;;107,38;;;122,81;;;114,14;;;99,53;;;85,00;;;116,02;;;99,00;;;82,02;;;;1.298,03;;;108,17;
;Recanto das Emas;;91,46;;;113,07;;;128,15;;;141,23;;;113,75;;;120,79;;;122,62;;;134,80;;;117,84;;;143,52;;;120,57;;;147,82;;;;1.495,62;;;124,64;
;Samambaia;;104,85;;;119,62;;;155,87;;;131,91;;;175,90;;;161,60;;;142,82;;;187,03;;;150,49;;;177,71;;;162,33;;;208,01;;;;1.878,14;;;156,51;
;Santa Maria 1;;168,52;;;170,43;;;136,00;;;148,46;;;176,42;;;134,90;;;170,21;;;143,73;;;140,33;;;148,73;;;137,14;;;141,37;;;;1.816,24;;;151,35;
;Santa Maria 2;;0,00;;;15,64;;;63,84;;;42,73;;;65,08;;;47,88;;;68,69;;;65,10;;;65,37;;;57,80;;;55,32;;;59,82;;;;607,27;;;50,61;
;São Sebastião 1;;42,40;;;42,62;;;71,54;;;50,24;;;52,09;;;42,89;;;57,68;;;56,15;;;64,82;;;76,44;;;65,76;;;129,61;;;;752,24;;;62,69;
;São Sebastião 2;;8,84;;;28,20;;;63,81;;;88,22;;;62,95;;;76,51;;;71,70;;;78,71;;;69,15;;;82,27;;;66,11;;;97,63;;;;794,10;;;66,18;
;Sobradinho I – 1;;104,98;;;113,30;;;161,60;;;176,95;;;193,24;;;149,00;;;174,50;;;169,47;;;163,87;;;161,84;;;181,59;;;149,20;;;;1.899,54;;;158,30;
;Sobradinho I – 2;;142,25;;;114,46;;;147,18;;;111,53;;;89,30;;;103,68;;;126,61;;;134,67;;;121,42;;;136,09;;;132,68;;;147,75;;;;1.507,62;;;125,64;
;Sobradinho II;;113,74;;;142,55;;;179,61;;;226,25;;;200,50;;;184,63;;;212,42;;;162,49;;;163,20;;;145,49;;;129,63;;;155,40;;;;2.015,91;;;167,99;
Taguatinga;;;281,38;;;314,26;;;352,22;;;339,05;;;328,30;;;322,11;;;262,93;;;305,16;;;297,16;;;298,32;;;259,65;;;409,15;;;3.769,69;;;314,14;;
;TOTAL;;;3.204,48;;;3.478,54;;;3.739,38;;;3.738,30;;;3.665,54;;;3.435,28;;;3.627,06;;;3.558,76;;;3.321,87;;;3.756,75;;;3.307,94;;;3.923,21;;;42.757,11;;;3.563,09;
