;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL LOTE;MÉDIA
Lote I;2,000;2,000;2,000;2,000;2,000;2,000;2,000;2,000;2,000;2,000;2,000;2,000;24,00;2,00
Lote II;0,961;1,000;1,000;1,000;0,360;1,000;1,000;1,000;1,000;1,000;1,000;1,000;11,32;0,94
Lote III;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;12,00;1,00
Total;3,96;4,00;4,00;4,00;3,36;4,00;4,00;4,00;4,00;4,00;4,00;4,00;47,32;3,94
