PROCESSAMENTO DOS RESÍDUOS NAS USINAS DE CEILÂNDIA E ASA SUL (EM TONELADAS);;;;;;;;;;;;;;
;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez;Total lote;Média
NURES (Psul);14.854,53;14.317,84;14.872,62;16.016,56;16.321,38;12.997,99;13.028;13.134;13.727;4.991;13.255;14.140;161.655;13.471
NUCOP (Asa Sul);6.713,28;5.203,00;6.924,00;6.159,06;6.476,63;5.359,28;4.277;6.245;4.145;1.062;6.234;4.967;63.766;5.314
Total;21.567,81;19.520,84;21.796,62;22.175,62;22.798,01;18.357,27;17.305;19.379;17.872;6.052;19.489;19.107;225.420;18.785
