;15/2021;GAE CONSTRUÇÃO E COMERCIO;26/07/2021;Construção de 02 (dois) Reservatórios de Efluentes Líquidos (Chorume) - Tanque de Segurança/Equalização localizado no Aterro Sanitário de Brasília - ASB;;26/07/2022;526.062,03;;EDMUNDO PACHECO GADELHA;
;;;;;;;;;/ FERNANDA FERREIRA DE SOUSA;
;;;;;;;;;/ GLAYSON LUIZ ALVARENGA;
;;;;;;;;;CHAMIÇO / HENRIQUE CAMPOS;
;;;;;;;;;AMARAL OLIVEIRA / LEONARDO;
;;;;;;;;;YAMADA ARANTES;
4;15/2021;GAE CONSTRUÇÃO E COMERCIO;26/07/2021;Construção de 02 (dois) Reservatórios de Efluentes Líquidos (Chorume) - Tanque de Segurança/Equalização localizado no Aterro Sanitário de Brasília - ASB;;26/07/2022;R$ 526,062,03;;EDMUNDO PACHECO GADELHA;
;;;;;;;;;/ FERNANDA FERREIRA DE SOUSA;
;;;;;;;;;/ GLAYSON LUIZ ALVARENGA;
;;;;;;;;;CHAMIÇO / HENRIQUE CAMPOS;
;;;;;;;;;AMARAL OLIVEIRA / LEONARDO;
;;;;;;;;;YAMADA ARANTES;
5;27/2021;RGM ENGENHARIA LTDA;12/09/2021;Prestação de serviços comuns de engenharia, para a instalação de Pontos de Entrega Voluntária (PEV) nas Regiões Administrativas do Distrito Federal.;;12/09/2022;R$ 1.581.410,91;;EDMUNDO PACHECO GADELHA /;
;;;;;;;;;FERNANDA FERREIRA DE SOUSA /;
;;;;;;;;;ISADORA PERDIGÃO ROCHA / GLÓRIA;
;;;;;;;;;LUSTOSA PIRES / MARCELO LOPES;
;;;;;;;;;VIEIRA BEZERRA;
6;28/2021;GHS ARTEX CONSTRUÇÕES SERVIÇOS E REFORMAS EIRELI;12/09/2021;Prestação de serviços comuns de engenharia, para a instalação de Pontos de Entrega Voluntária (PEV) nas Regiões Administrativas do Distrito Federal;;12/09/2022;R$ 1.775.145,98;;FERNANDA FERREIRA DE SOUSA /;
;;;;;;;;;HENRIQUE CAMPOS AMARAL;
;;;;;;;;;OLIVEIRA / HELENA MAGALHÃES;
;;;;;;;;;GOMES GARCIA / MARCELO LOPES;
;;;;;;;;;VIEIRA BEZERRA;
7;29/2021;PROERG PROJETOS E EMPREENDIMENTOS LTDA;30/12/2021;;Implantação e manutenção de barreira;30/12/2023;R$ 314.025,56;Ainda não houve designação e executores;;
;;;;;vegetal na Usina de Tratamento Mecânico-;;;;;
;;;;;Biológico do P Sul;;;;;
