Sobradinho (Rejeito de resíduo);11.051;9.539;10.537;7.195;10.301;8.819;9.110;8.468;7.823;10.185;10.932;12.252;116.213;9.684
NURES (rejeito de composto);1.427;2.025;284;2.509;5.247;2.410;3.168;358;-;1.419;1.887;575;21.309;1.776
NUCOP (composto orgânico);2.596;1.929;2.766;2.301;2.540;2.179;1.720;2.374;1.679;372;2.363;1.884;24.702;2.059
Total;42.098;39.160;39.273;40.184;49.178;37.417;37.982;33.320;30.565;39.462;36.413;36.968;462.018;38.502
