Coleta convencional de lixo;591
Coleta de entulho disposto irregularmente;264
Varrição e pintura de meios-fios;212
Coleta seletiva de lixo;163
Ressarcimento de contêineres quebrados;161
Instalação e manutenção de lixeira;95
Denúncias;90
Barulho na coleta;60
Atendimento;25
Catação manual de papéis;33
Retirada de animais mortos em vias públicas;28
Serviços fora da competência do SLU;27
Lavagem de monumentos, paradas e passarelas;22
Orientação para instalação de contêiner;22
Orientação ambiental;8
Compostagem;3
Elogios;40
