CONTRATO Nº;EMPRESA;;;;DATA DE ASSINATURA/;;OBJETO;;;;DATA DO TÉRMINO;;VALOR (R$);EXECUTORES E SUPLENTES;;
;;;;;INÍCIO DA VIGÊNCIA;;;;;;DA VIGÊNCIA;;;;;
22/2010;AR (CONDOMÍNIO);;;17/09/2010;;;ALUGUEL DA SEDE - 6º ANDAR;;;18/09/2025;;;MENSAL: R$ 137.452,45 ANUAL: R$ 1.649.429,40;;GERSON GOMES DA SILVA NETO E;
;;;;;;;;;;;;;;;FLÁVIO RODRIGUES DE QUEIROZ;
;;;;;;;;;;;;;;;MACEDO;
05/2022;NEOENERGIA DISTRIBUICAO BRASILIA S.A;;;29/04/2022;;;;DEMANDA E FORNECIMENTO DE ENERGIA;;29/04/2023;;;TOTAL: R$ 275.000,00;EDSON RODRIGUES DA SILVA E MARIA PINTO BRANDÃO;;
;;;;;;;;ELÉTRICA PARA A LOCALIDADE: COMPLEXO NORTE;;;;;;;;
;;;;;;;;– SGO, QUADRA 05, LOTE 23 – BRASÍLIA-DF;;;;;;;;
06/2022;NEOENERGIA DISTRIBUICAO BRASILIA S.A;;;29/04/2022;;;;DEMANDA E FORNECIMENTO DE ENERGIA;;29/04/2023;;;TOTAL: R$ 66.539,00;GUSTAVO DE OLIVEIRA COSTA E ALLAN ADJUTO CHAVES SOUSA;;
;;;;;;;;ELÉTRICA PARA A LOCALIDADE: ÁREA ESPECIAL;;;;;;;;
;;;;;;;;QUADRA 15 CONJUNTO C1 - SCIA, CIDADE;;;;;;;;
;;;;;;;;ESTRUTURAL;;;;;;;;
07/2022;NEOENERGIA DISTRIBUICAO BRASILIA S.A;;;29/04/2022;;;DEMANDA E FORNECIMENTO DE ENERGIA ELÉTRICA PARA VÁRIAS LOCALIDADES;DEMANDA E FORNECIMENTO DE ENERGIA;;29/04/2023;;;TOTAL: R$ 29.617,92;JANAILDA PEREIRA DOS SANTOS E MARLY TEIXEIRA DE ARAÚJO,;;
21/2017;G10 DISTRIBUIÇÃO LTDA – EPP;;;26/07/2017;;;LOCAÇÃO DE GALPÃO PARA A INSTALAÇÃO DE CENTRO DE TRIAGEM -SCIA, GUARÁ, BRASÍLIA/DF;;;26/07/2023;;;MENSAL: R$ 20.900,00 ANUAL: R$ 250.800,00;VANDA ALVES DA ROCHA E ANDRÉ LUIZ JUNQUEIRA GUIMARÃES;;
;;;;;;;;CENTRO DE TRIAGEM -SCIA, GUARÁ, BRASÍLIA/DF;;;;;;;;
30/2017;NAVARRO PROCESSAMENTO DE DADOS LTDA – ME;;;17/10/2017;;;;LOCAÇÃO DE GALPÃO PARA A INSTALAÇÃO DE;;17/10/2023;;;MENSAL: R$ 28.215,00 ANUAL: R$368.631,72;ANDRE LUIZ JUNQUEIRA GUIMARÃES/ ANA CRISTINA CAVALCANTE ARANHA;;
;;;;;;;;CENTRO DE TRIAGEM NO SETOR DE;;;;;;;;
;;;;;;;;ARMAZENAMENTO E ABASTECIMENTO NORTE –;;;;;;;;
;;;;;;;;SAAN, BRASÍLIA/DF;;;;;;;;
30/2018;NOTORIUN TECNOLOGIA EM SOFTWARE LTDA - EPP;;;16/05/2019;;;EMPRESA ESPECIALIZADA EM GERAÇÃO DE RELATÓRIOS.;;;15/05/2023;;;R$ 2.200.000,00;;LEANDRO HENRIQUE ANTUNES DE;
;;;;;;;;;;;;;;;CARVALHO/ DOUGLAS GASPARINI DE;
