INSTITUIÇÃO;TIPO DE PARCERIA;RESULTADO
Fecomércio;Divulgação em mídia e apoio no diálogo com o Sindsuper para discutir normas para uso de sacolas de supermercados.;Fecomércio, Sindsuper e SLU elaboraram minuta de projeto de lei para proibir o uso de sacolas plásticas não compostáveis no varejo.
Sindsuper;Normas para utilização de sacolas nos supermercados.;Fecomércio, Sindsuper e SLU elaboraram minuta de projeto de lei para proibir o uso de sacolas plásticas não compostáveis no varejo.
Sinproep;Divulgação do material do SLU nas mídias. Promoção de agenda com as universidades e escolas particulares.;Foi divulgada matéria sobre coleta seletiva no site do Sinproep.
Conselho de Promoção e Assistência Social - Cepas;Promoção de novas parcerias com a rede do Cepas.;Realizada reunião com cerca de 70 líderes de entidades do terceiro setor das áreas educação, saúde, educação, assistência social que agendarão ações individuais com o SLU para formação de multiplicadores nas suas bases de atuação.
OCDF;Proposta de formação para os catadores do curso do Senai e para os funcionários do SLU.;Foi realizado um primeiro encontro de formação “Vem Saber”, sobre cooperativismo voltado para servidores do SLU.
