;Sobradinho I - 2;;113,19;;;85,64;;115,19;;90,09;77,99;96,77;116,41;122,07;117,45;;129,06;;;128,76;;;100,79;;1.293,41;;;107,78;
;Sobradinho II;;87,98;;;118,33;;149,33;;191,85;173,67;170,25;188,30;152,38;154,14;;133,31;;;114,65;;;100,95;;1.735,14;;;144,60;
;Taguatinga;;202,30;;;217,98;;232,33;;239,54;220,25;240,39;197,74;212,49;227,02;;212,44;;;188,58;;;316,26;;2.707,32;;;225,61;
;TOTAL;;;2.548,61;;;2.716,93;;2.914,85;3.032,03;3.031,89;2.903,41;3.112,27;3.054,29;;2.921,56;;3.112,58;;;2.702,41;;;3.134,61;35.185,44;;;2.932,12;
