;;;JAN;;FEV;;MAR;;ABR;;MAI;;JUN;;JUL;AGO;SET;OUT;NOV;DEZ;Total lote;Média;
;Lote I;1.023,04;;926,61;;1.009,55;;893,25;;882,58;;809,22;;735,59;;887,35;856,64;835,55;887,07;1.016,03;10.762,48;896,87;
;Lote II;301,09;;260,22;;237,75;;275,81;;297,98;;326,24;;297,38;;317,10;304,30;290,51;377,55;312,10;3.598,03;299,84;
;Lote III;648,37;;632,58;;682,74;;744,75;;729,84;;753,51;;618,68;;720,46;665,29;669,61;721,64;753,55;8.341,02;695,09;
;Total;;1.972,50;;1.819,41;;1.930,04;;1.913,81;;1.910,40;;1.888,97;;1.651,65;1.924,91;1.826,23;1.795,67;1.986,26;2.081,68;22.701,53;1.891,79;
