;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL LOTE;MÉDIA
Lote I;38.750,395;36.964,559;38.545,935;37.089,405;37.386,698;38.809,947;40.106,024;38.685,237;38.606,054;40.069,800;37.254,442;38.619,906;460.888,402;38.407,367
Lote II;21.268,552;21.326,050;22.920,656;21.801,493;20.774,285;20.903,192;21.191,904;21.273,576;22.435,682;23.585,700;21.911,400;23.101,776;262.494,266;21.874,522
Lote III;26.582,629;24.509,092;26.561,723;25.214,286;25.537,661;26.574,293;27.484,471;26.566,944;26.628,498;27.673,174;25.684,689;26.662,938;315.680,398;26.306,700
Total;86.601,576;82.799,701;88.028,314;84.105,184;83.698,644;86.287,432;88.782,399;86.525,757;87.670,234;91.328,674;84.850,531;88.384,620;1.039.063,066;86.588,589
