;;;REFERENTE AO LOTE LOTE 19 - SETOR DE MANSÕES DE SOBRADINHO 1 E FERCAL,;;;
25/2022;COOPERATIVA DE TRABALHO DE CATADORES FLOR DO CERRADO;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE LOTE 18 - PLANALTINA II;29/04/2025;R$ 621.600,00 (SEISCENTOS E VINTE E UM MIL E SEISCENTOS REAIS);FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NILSON DOS SANTOS CALDEIRA, LEONIDES LAINE BAIÃO PIRES, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA, NELSON GONÇALVES PIRES FILHO
24/2022;COOPERATIVA DE TRABALHO RECICLAMAIS;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 17 - PLANALTINA I;29/04/2025;R$ 554.635,14 (QUINHENTOS E CINQUENTA E QUATRO MIL SEISCENTOS E TRINTA E CINCO REAIS E QUATORZE CENTAVOS);FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NILSON DOS SANTOS CALDEIRA, LEONIDES LAINE BAIÃO PIRES, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA, NELSON GONÇALVES PIRES FILHO
23/2022;COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL - CONSTRUIR;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 16 COLÔNIA AGRÍCOLA SAMAMBAIA;29/04/2025;R$ 458.657,16 (QUATROCENTOS E CINQUENTA E OITO MIL SEISCENTOS E CINQUENTA E SETE REAIS E DEZESSEIS CENTAVOS);FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NILSON DOS SANTOS CALDEIRA, LEONIDES LAINE BAIÃO PIRES, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA, NELSON GONÇALVES PIRES FILHO
22/2022;COOPERATIVA DE RECICLAGEM AMBIENTAL PLASFERRO;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 15 - JARDIM BOTÂNICO III,;29/04/2025;R$ 544.024,20 (QUINHENTOS E QUARENTA E QUATRO MIL VINTE E QUATRO REAIS E VINTE CENTAVOS);FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NILSON DOS SANTOS CALDEIRA, LEONIDES LAINE BAIÃO PIRES, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA, NELSON GONÇALVES PIRES FILHO
21/2022;COOPERATIVA DE TRABALHO RECICLA MAIS BRASIL;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL;29/04/2025;R$ 582.001,20 (QUINHENTOS E OITENTA E DOIS MIL E UM REAL E VINTE CENTAVOS);FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NILSON DOS SANTOS CALDEIRA, LEONIDES LAINE BAIÃO PIRES, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA, NELSON GONÇALVES PIRES FILHO
