ORGANIZAÇÃO NÃO GOVERNAMENTAL;;
COLOCAÇÃO;INSTITUIÇÃO;NOME
Titular;ABES/DF;Jaira Maria Alba Puppim
1º Suplente;;Silvano Silvério da Costa
2º Suplente;;Gilberto Antonio do Nascimento
Titular;Sinduscon/DF;Fábio Caribé de Araújo Galvão
1º Suplente;;Égades Verissimo
2º Suplente;;Magda Maria da Silva Souza Ribas
Titular;Sindivarejista/DF;Agostinho Rocha Ferreira
1º Suplente;;Edircéa Maria de Oliveira Souza
2º Suplente;;Carolina Farnese
Titular;Sindilurb/DF;Raimundo Nonato Correa Morais
1º Suplente;;Jolanda Costa Dias
2º Suplente;;Francisco Alves de Souza
CATADORES DE MATERIAIS RECICLÁVEIS;;
COLOCAÇÃO;INSTITUIÇÃO;NOME
Titular;Catamare;Antonia Cardoso Abreu
1º Suplente;Sonho de Liberdade;Fernando de Figueredo
2º Suplente;-;-
Titular;Recicle a Vida;Maria Eneide Pereira Costa
1º Suplente;Construir;Zilda Fernandes de Souza
2º Suplente;-;-
