PESSOAL ENVOLVIDO NA LIMPEZA URBANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;A N A B R U A Z E P M IL L A O S S E P;;;;;;Operacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Apoio;;;;;;;;;;;;;;L A T O T;;
;;;;;;;;;;;;o ã ç irra V ira G;;;;;ro te lo C;;;;;e tn a d u jA;;;;/ ro d a z ilib o M / ro tin o M;ro s iv re p u S;)a te lo c / o ã ç irra v (;;;ro d a ta C;;;;a n iu q á M e d ro d a re p O;;;Motorista;;;;;;;;;Diversos;;;Engenheiro / Técnico de Segurança do Trabalho;;;Médico do Trabalho /Enfermeiro / Aux. de enfermagem do trabalho;;;Administrativo/ Coordenação;;;Diversos;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;a te lo C;;;s a rtu O;s e d a d iv ita;;;;;;;;;;;;;;;;;;;;;;
;L A T N E IB M A R O L A V;;a te lo C )I E T O L (;;a z e p m il e la n o ic n e v n o C;;a n a b ru;;;1249;;;;;364;;;;;0;;;;;47;;;;;0;;;28;;;;;200;;;;;;;;;0;;;6;;;5;;;49;;;133;;;2081;;;;
;E R A T N E T S U S;;a te lo C )II E T O L (;;e la n o ic n e v n o C;;a n a b ru a z e p m il;;;906;;;;;255;;;;;0;;;;;9;;;;;0;;;0;;;;;167;;;;;;;;;35;;;5;;;2;;;48;;;90;;;1517;;;;
;;a te lo C )III E T O L ( A M U S;;a z e p m il e la n o ic n e v n o C;;a n a b ru;;;;1052;;;;;267;;;;;0;;;;;0;;;;;0;;;0;;;;;173;;;;;;;;;0;;;2;;;5;;;43;;;120;;;1662;;;;
;T R O F L E B;;s o d s o u d ís e R;;e d s o ç iv re S;;e d ú a S;;;0;;;;;4;;;;;14;;;;;0;;;;;0;;;4;;;;;8;;;;;;;;;0;;;0;;;0;;;0;;;6;;;36;;;;
;TOTAL;;;;;;;;;;3207;;;;;890;;;;;14;;;;;56;;;;;0;;;32;;;;;548;;;;;;;;;35;;;13;;;12;;;140;;;349;;;5296;;;
