;CUSTOS DA COLETA SELETIVA (R$) - 2018 - Valor Ambiental Lote IV;;;;;;;;;;;;;;
;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;Total por serviço;Percentual;Custo médio da Coleta Seletiva
LOTE IV - Valor Ambiental;472.593,82;392.098,13;421.526,54;414.890,16;422.509,78;420.957,60;405.735,54;407.052,90;358.679,49;402.497,54;384.875,62;172.941,06;4.676.358,18;55%;389.696,52
LOTE IV - SUSTENTARE;-;-;-;-;-;-;-;-;-;-;-;382.155,44;382.155,44;5%;
Associação Acobraz*;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;383.183,52;5%;31.931,96
Renascer*;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;383.183,52;5%;31.931,96
R3*;33.338,62;33.338,62;33.338,62;33.338,62;33.338,62;33.338,62;33.338,62;33.338,62;33.338,62;33.338,62;33.338,62;33.338,62;400.063,44;5%;33.338,62
Recicle a Vida*;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;31.931,96;383.183,52;5%;31.931,96
Vencendo Obstáculos*;-;-;-;-;-;11.736,80;16.138,10;19.072,30;22.006,50;27.874,90;25.674,25;27.141,35;149.644,20;2%;21.377,74
Cooperdife*;-;-;30.051,80;32.665,00;35.278,20;33.318,30;34.624,90;39.198,00;36.584,80;39.851,30;36.584,80;39.851,30;358.008,40;4%;35.800,84
Coopere*;-;-;31.017,15;31.017,15;32.395,69;32.395,69;33.084,96;33.084,96;28.949,34;31.706,42;27.570,80;28.949,34;310.171,50;4%;31.017,15
CRV*;-;-;30.504,60;29.826,72;31.182,48;29.826,72;32.538,24;31.182,48;23.047,92;31.860,36;26.437,32;2.033,64;268.440,48;3%;26.844,05
Ecolimpo*;-;-;27.772,17;26.417,43;29.126,91;27.094,80;29.804,28;30.481,65;23.707,95;31.159,02;25.740,06;27.772,17;279.076,44;3%;27.907,64
Recicla Brasília*;-;-;27.163,53;22.741,56;24.004,98;27.163,53;27.795,24;29.690,37;19.583,01;22.741,56;11.370,78;19.984,36;232.238,92;3%;23.223,89
Recicla mais Brasil*;-;-;;;25.196,40;26.456,22;27.716,04;28.345,95;22.046,85;32.125,41;25.196,40;18.897,30;258.263,10;3%;25.826,31
Total;601.728,32;521.232,63;724.256,42;711.888,92;728.828,94;738.084,16;736.571,80;747.243,11;663.740,36;748.951,01;692.584,53;848.860,46;8.463.970,66;100%;705.330,89
*Cooperativas de catadores de materiais recicláveis;;;;;;;;;;;;;;;
