RESÍDUOS DA SAÚDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;
R$ 339.479,22;;R$ 321.909,67;;;-;;;R$ 23,52;;;R$ 0,00;;;R$ 40,98;;;R$ 50,86;;;R$ 90,92;;;R$ 57,91;;;R$ 494,09;;;R$ 51,78;;;R$ -;;
TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;R$ 662.198,95;;;;;;;
