;;SIGGo essencial – do zero ao avançado: teoria e prática;;;;1;;
;;Marco Regulatório das Organizações da Sociedade Civil (MROSC) – Módulo: Manual MROSC – DF;;;;1;;
;;Feedback e Comunicação Assertiva;;;;1;;
;;Gestão e Fiscalização de Contratos;;;;7;;
;;Fiscalização e Gestão de Contratos de TIC;ENAP;;;1;;
;;Boas Práticas em Contratos de Serviços Terceirizados;;;;1;;
;;Gestão e Fiscalização de Contratos Administrativos;;;;6;;
;;Gestão Estratégica de Pessoas no Setor Público e o Sistema de Carreiras;;;;1;;
;;Ética e Serviço Público;;;;1;;
;;Liderança como Essência da Gestão;;;;1;;
;;SEI Usar 4.0;;;;1;;
;;Knowledge Co-Creation Program on Municipal Solid Waste Management Practice (A);;JICA;;2;;
;;Workshops: Tomada de Subsídios para Revisão da resolução nº 21, de 25 de novembro de 2016;;ADASA;;2;;
;;Metodologia de auditoria e certificação das informações do Plano Distrital de Gestão Integrada de Redíduos Sólidos - Projeto ACERTAR Resíduos Sólidos do Distrito Federal;TATO;;;1;;
;;Coleta e Gerenciamento de dados de Campo;;ACADEMIASGIS;;1;;
;;Atendimento ao Público;;IMAZON;;1;;
;;Elaboração de Planilhas Orçamentarias de Obras e Serviços de Engenharia;;R8;;10;;
;CERTIFICADOS EMITIDOS NO 3º TRIMESTRE;;;;;;71;
