CONTROLE CLIPPING 2020;;;;;;;;;
Mídia Impressa e Eletrônica;Janeiro;;;Fevereiro;;;Março;;
;Negativas;Positivas;Neutras;Negativas;Positivas;Neutras;Negativas;Positivas;Neutras
;12;31;53;12;23;57;12;29;59
;Abril;;;Maio;;;Junho;;
;Negativas;Positivas;Neutras;Negativas;Positivas;Neutras;Negativas;Positivas;Neutras
;6;63;53;1;34;27;5;47;18
;Julho;;;Agosto;;;Setembro;;
;Negativas;Positivas;Neutras;Negativas;Positivas;Neutras;Negativas;Positivas;Neutras
;3;13;4;6;26;9;11;22;1
;Outubro;;;Novembro;;;Dezembro;;
;Negativas;Positivas;Neutras;Negativas;Positivas;Neutras;Negativas;Positivas;Neutras
;5;34;9;5;16;3;6;20;7
