;CONTRATOS E RESULTADOS DA COLETA SELETIVA INCLUSIVA POR COOPERATIVA/ASSOCIAÇÃO;;;;;;;;;;;;;;
COOPERATIVA;;;Nº DO CONTRATO;;VALOR DO CONTRATO (ANUAL);;;VALOR PAGO EM 2024 ¹;;;;MASSA;;RA ATENDIDA;
;;;;;;;;;;;;COLETADA EM;;;
;;;;;;;;;;;;2024;;;
;;;;;;;;;;;;(TONELADAS);;;
;Construir;;23/2022;;R$ 495.474,02;;;R$ 486.662,52;;;265,35;;;RA XXX – Vicente Pires (Colônia Agrícola Samambaia);
;Cooperdife;;08/2022;;R$ 709.093,24;;;R$ 692.409,39;;;1455,31;;;RA V – Sobradinho I;
;Coopere;;15/2022;;R$ 680.570,40;;;R$ 665.631,43;;;403,30;;;RA XVII – Riacho Fundo I e RA XXI – Riacho Fundo II;
;Coopernoes;;28/2022;;R$ 502.488,00;;;R$ 481.301,80;;;180,12;;;RA XXV – SCIA/Estrutural (SCIA);
;Cortrap;;20/2022;;R$ 635.199,33;;;R$ 612.966,78;;;421,83;;;RA XVII – Jardim Botânico (I);
;CRB;;18/2022;;R$ 589.827,95;;;R$ 499.863,57;;;352,64;;;RA IV – Brazlândia;
;CRV;;11/2022;;R$ 563.901,58;;;R$ 553.873,14;;;724,56;;;RA XVIII – Lago Norte e RA XXIII – Varjão;
;CTELS;;29/2022;;R$ 465.380,76;;;R$ 419.288,30;;;194,76;;;RA XIII – Arniqueira;
;Ecolimpo;;10/2022;;R$ 614.464,44;;;R$ 576.316,65;;;306,22;;;RA XVI – São Sebastião (Jardins Mangueiral/Jardim Botânico);
;Flor do Cerrado;;25/2022;;R$ 671.496,48;;;R$ 659.554,56;;;270,11;;;RA VI – Planaltina (II);
;Nova Superação;;27/2022;;R$ 468.866,17;;;R$ 460.151,02;;;149,50;;;RA XXIX – SIA;
;Planalto;;26/2022;;R$ 572.975,76;;;R$ 559.339,07;;;179,72;;;RA XXVI – Sobradinho II (Setor de Mansões Sobradinho II) e RA XXXI-Fercal;
;Plasferro;;22/2022;;R$ 587.693,55;;;R$ 569.114,23;;;391,82;;;RA XVII – Jardim Botânico (III);
;R3;;16/2022;;R$ 667.610,68;;;R$ 654.625,16;;;1022,18;;;RA XIII – Santa Maria;
;Recicla Brasília;;12/2022;;R$ 792.444,84;;;R$ 752.010,56;;;487,16;;;RA XVI – Lago Sul;
;Recicla Mais;;24/2022;;R$ 599.156,24;;;R$ 588.500,88;;;206,60;;;RA VI – Planaltina (I);
;Recicla Mais Brasil;;09/2022;;R$ 738.953,05;;;R$ 716.479,33;;;458,47;;;RA VII – Paranoá e RA XXVII – Itapoã;
;Recicla Mais Brasil II;;21/2022;;R$ 628.719,00;;;R$ 615.847,78;;;1082,29;;;RA XVII – Jardim Botânico (II);
;Recicle a Vida;;17/2022;;R$ 780.471,32;;;R$ 713.276,93;;;754,10;;;RA XII – Samambaia;
;Reciclo;;19/2022;;R$ 466.677,12;;;R$ 453.363,93;;;165,95;;;RA XXIV – Park Way (exceto Q. 3 a 5);
;Renascer;;14/2022;;R$ 558.307,44;;;R$ 515.617,88;;;205,12;;;RA XIX – Candangolândia e RA VIII – Núcleo Bandeirante;
;Vencendo Obstáculos;;13/2022;;R$ 479.640,31;;;R$ 472.110,40;;;140,29;;;RA XI – Cruzeiro Velho;
;TOTAL;;;;;R$ 13.269.411,68;;;R$12.718.305,31;;;9.817,41;;;
