;;;;IRR P SUL;;;;;;;IRR SCIA Q. 09;;;;
Mês;;;;Quantidade Mensal;;;Quantidade Mensal de;;;;Quantidade Mensal Recebida;;;Quantidade Mensal de;
;;;;Recebida (Ton);;;Rejeito (Ton);;;;(Ton);;;Rejeito (Ton);
;Janeiro;;530,03;;;;324,13;;;459,22;;;;225,09;
;Fevereiro;;390,25;;;;226,31;;;465,96;;;;206,32;
;Março;;453,85;;;;299,02;;;567,38;;;;259,47;
;Abril;;416,55;;;;231,69;;;513,32;;;;228,48;
;Maio;;456,71;;;;261,48;;;546,49;;;;280,82;
;Junho;;383,75;;;;188,71;;;505,48;;;;266,11;
;Julho;;;341,71;;;176,16;;;;481,97;;;226,17;
;Agosto;;;475,40;;;253,83;;;;550,41;;;263,31;
;Setembro;;;532,16;;;214,74;;;;353,62;;;188,41;
;Outubro;;;494,49;;;248,86;;;;328,52;;;236,94;
;Novembro;;;579,53;;;279,87;;;;356,10;;;252,43;
;Dezembro;;;490,87;;;233,60;;;;285,00;;;209,67;
;TOTAL;;;5.545,30;;;2.938,40;;;;5.413,47;;;2.843,22;
