;CUSTO DA OPERAÇÃO DOS PAPA ENTULHO (PEV);;;;;;;;;;;;;
Mês;;;;Coleta e transporte;;;Coleta e transporte manual;;;Coleta e Transporte manual;;Custo total;;
;;;;mecanizado de entulho;;;de podas;;;de Resíduos Volumosos;;;;
;Janeiro;;R$ 167.971,20;;;R$ 74.736,69;;;R$ 74.160,66;;;;R$316.868,55;
;Fevereiro;;R$ 166.602,56;;;R$ 74.379,93;;;R$ 73.811,04;;;;R$314.793,53;
;Março;;R$ 165.811,20;;;R$ 72.470,85;;;R$ 73.811,04;;;;R$312.093,09;
;Abril;;R$ 166.602,56;;;R$ 74.379,93;;;R$ 73.811,04;;;;R$314.793,53;
;Maio;;R$ 162.604,10;;;R$ 74.379,93;;;R$ 73.811,04;;;;R$310.795,07;
;Junho;;R$ 166.602,56;;;R$ 74.379,93;;;R$ 73.811,04;;;;R$314.793,53;
;Julho;;R$ 166.602,56;;;R$ 74.379,93;;;R$ 73.811,04;;;;R$314.793,53;
;Agosto;;R$ 170.680,32;;;R$ 78.513,03;;;R$ 77.944,14;;;;R$327.137,49;
;Setembro;;R$ 170.680,32;;;R$ 78.513,03;;;R$ 77.944,14;;;;R$327.137,49;
;Outubro;;R$ 169.099,39;;;R$ 78.513,03;;;R$ 76.982,83;;;;R$324.595,25;
;Novembro;;R$ 208.696,44;;;R$ 66.435,11;;;R$ 63.953,17;;;;R$339.084,72;
;Dezembro;;R$ 411.190,11;;;R$ 163.867,68;;;R$ 76.041,67;;;;R$651.099,46;
;TOTAL;;;R$2.293.143,32;;;R$984.949,07;;;R$889.892,85;;;R$4.167.985,24;
