;PESO LÍQUIDO POR MÊS (EM TONELADAS);;;;;;;;;;;;;;
;Mês;;;Remoção Manual;;;Remoção Mecanizada;Remoção PEV;;;Outros;;;Total;
;Janeiro;;1.840,16;;;48.919,99;;2.588,00;;63.213,54;;;;116.561,69;
;Fevereiro;;1.626,62;;;47.810,98;;2.251,70;;50.185,13;;;;101.874,43;
;Março;;2.030,67;;;53.155,60;;2.643,92;;69.739,73;;;;127.569,92;
;Abril;;1.755,56;;;50.298,91;;2.222,17;;60.727,13;;;;115.003,77;
;Maio;;1.684,03;;;56.986,35;;2.429,57;;74.834,51;;;;135.934,46;
