CONTRATOS/CONVÊNIOS;;ASSINADOS;;;;;VENCIDOS;VIGENTES;TOTAL
;;2015 ANTES;2016;2017;2018;2019;;;
Manutenção Administrativa;;7;5;6;5;9;2;30;32
Obras;;0;1;0;0;2;1;2;3
Aquisição de Equipamentos;;0;0;0;7;3;7;3;10
Terceirizados;;0;1;1;0;0;0;2;2
Serviço de Limpeza Urbana;;2;0;0;6;15;11;12;23
Coleta Seletiva;;0;4;0;20;5;3;26;29
Convênios;NOVACAP;0;0;0;0;0;0;2;2
;CAESB;0;0;0;0;0;;;
;SES;0;0;0;1;0;;;
Termo de Cooperação;BRB;0;0;1;0;0;;;
;INB;0;0;0;0;0;;;
Total;;9;11;8;39;34;24;77;101
