;Reciclamais;;Planaltina I;Média baixa;;92,58;;;14,76;;;84%;;
;Recicla Mais Brasil;;Paranoá e Itapoã;Baixa;;338,48;;;50,97;;;85%;;
;Recicla Mais Brasil;;Jardim Botânico II;Alta;;323,91;;;64,07;;;80%;;
;Recicle a Vida;;Samambaia;Média Baixa;;748,98;;;79,50;;;89%;;
;Reciclo;;Park Way (exceto Q. 3 a 5);Alta;;116,64;;;12,33;;;89%;;
Renascer;;;Candangolândia e Núcleo Bandeirante;Média Alta;;222,54;;;25,23;;;89%;;
;Vencendo Obstáculos;;Cruzeiro Velho;Média Alta;;174,54;;;28,86;;;83%;;
;TOTAL;;;;;;6.878,3;;;871,7;;;87%;
