;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;JUL;;AGO;;SET;;OUT;NOV;DEZ;Total lote;Média;
;Lote I;;;21.450,01;;;18.981,97;;;20.001,00;;;18.545,31;;;18.495,46;;;17.823,85;;17.368,55;;19.037,78;;18.578,97;;18.806,96;20.946,52;23.397,06;233.433,44;19.452,79;
;Lote II;;;18.339,42;;;16.042,83;;;16.864,48;;;15.590,75;;;14.763,83;;;15.108,95;;14.731,00;;15.882,75;;15.573,39;;16.048,53;17.046,79;19.163,22;195.155,94;16.263,00;
;Lote III;;;25.010,67;;;22.322,27;;;23.039,90;;;21.153,63;;;21.175,65;;;20.260,75;;19.968,95;;21.643,35;;21.407,41;;21.868,16;23.311,20;27.244,62;268.406,56;22.367,21;
;Total;;;64.800,10;;;57.347,07;;;59.905,38;;;55.289,69;;;54.434,94;;;53.193,55;;52.068,50;;56.563,88;;55.559,77;;56.723,65;61.304,51;69.804,90;696.995,94;58.083,00;
