Coleta Convencional (resíduos indiferenciados);;;;
Unidade;2014;2015;Diferença;Percentual de aumento
Quantidade (T);844.186;843.217;-969;-0,11%
Custo Unitário (R$);77,00;86,25;9,25;10,7%
