;;;JAN;;FEV;;MAR;;ABR;;MAI;;JUN;;JUL;;AGO;SET;;OUT;;NOV;;DEZ;;Total;;;Média;
;Lote I;;253,46;;291,77;;266,92;;278,72;;243,19;;252,40;;290,79;;268,27;258,96;;370,94;;357,67;;290,47;;3.423,56;;;285,30;
;Lote II;;1.129,63;;1.093,20;;1.000,64;;1.044,29;;925,02;;885,29;;1.010,56;;957,97;891,24;;1.086,16;;1.144,20;;1.084,73;;12.252,93;;;1.021,08;
;Lote III;;484,69;;515,73;;451,07;;466,88;;431,30;;419,12;;447,05;;454,19;387,20;;496,78;;638,51;;620,94;;5.813,46;;;484,46;
;Total;;1.867,78;;1.900,70;;1.718,63;;1.789,89;;1.599,51;;1.556,81;;1.748,40;;1.680,43;1.537,40;;1.953,88;;2.140,38;;1.996,14;;21.489,95;;;1.790,83;
