23;09/2018;COOPERLIMPO DE CATADORES BRASIL;31.01.2018;Processamento de resíduos sólidos urbanos;31.01.2020;MENSAL: R$ 60.828,00 ANUAL: R$ 729.936,00;Ailton Oliveira Rocha/ Francisco Antonio Mendes Jorge/ José Nilton Arrais da Silva;Vigente
24;10/2018;COOPERATIVA DE RECICLAGEM TRABALHO E PRODUÇÃO (CORTRAP);16.01.2018;Processamento de resíduos sólidos urbanos;16.01.2020;MENSAL: R$ 25.851,90 ANUAL: R$ 310.222,80;Sara Evangelista Carneiro da silva/ Gercival Soares Ribeiro/Cleide Gonçalves Silva;Vigente
25;11/2018;COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS E REUTILIZAVEIS AMBIENTAL (COOPERE);16.01.2018;Processamento de resíduos sólidos urbanos;16.01.2020;MENSAL: R$ 27.372,60 ANUAL: R$ 328.471,20;Hallana de Sousa Cardoso/ Sérgio Lopes de Oliveira/ José Romildo dos Santos;Vigente
26;12/2018;COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL (CONSTRUIR);16.01.2018;Processamento de resíduos sólidos urbanos;16.01.2020;MENSAL: R$ 60.828,00 ANUAL: R$ 729.936,00;Sara Evangelista Carneiro da Silva/ Gercival Soares Ribeiro/ Cleide Gonçalves Silva;Vigente
27;13/2018;COOPERTIVA DE RECICLAGEM AMBIENTAL (COOPERDIFE);16.01.2018;Coleta Seletiva de resíduos recicláveis;16.01.2019;MENSAL: R$ 32.665,00 ANUAL: R$ 391.980,00;João de Sousa Neves/ Edinaldo Soares da Silva;Vigente
28;14/2018;COOPERTIVA DE TRABALHO DE CATADORES MATERIAIS AMBIENTAL (COOPERE);16.01.2018;Coleta Seletiva de resíduos recicláveis;16.01.2019;MENSAL: R$ 34.478,50 ANUAL: R$ 413.742,00;Vanilton Ferreira Soares/ Maria de Fátima Magalhães Veloso;Vigente
29;15/2018;ASSOCIAÇÃO CENTRAL DE RECICLAGEM DO VARJÃO (CRV);16.01.2018;Coleta Seletiva de resíduos recicláveis;16.01.2019;MENSAL: R$ 22.370,04 ANUAL: R$ 268.440,48;Antônio Fernando da Silva/ Carlos Clementino de Oliveira;Vigente
30;16/2018;COOPERATIVA DE TRABALHO DE CATADORES ECOLIMPO;16.01.2018;Coleta Seletiva de resíduos recicláveis;16.01.2019;MENSAL: R$ 27.772,17 ANUAL: R$ 333.266,04;Marcos Antônio Rosa Moreira/ José Amado Luiz Brandão;Vigente
31;17/2018;ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DO DF (RECICLA BRASÍLIA);16.01.2018;Coleta Seletiva de resíduos recicláveis;16.01.2019;MENSAL: R$ 17.687,88 ANUAL: R$ 212.254,56;Edmar Batista Teles/ Ademar Cirilo Vieira;Vigente
32;18/2018;ASSOCIAÇÃO DE CATADORES RECICLA MAIS BRASIL;16.01.2018;Coleta Seletiva de resíduos recicláveis;16.01.2019;MENSAL: R$ 25.196,40 ANUAL: R$ 302.356,80;Elias Escola/ Osmael de Souza Silva;Vigente
33;31/2018;RECICLE A VIDA COOPERATIVA DE CATADORES DO DF;04.06.2018;Processamento de resíduos sólidos urbanos;04.06.2019;MENSAL: R$ 91.174,50 ANUAL: R$ 1.094.094,00;Francisco Antonio Mendes Jorge/João Eudes dos Santos/Jorge Antônio da Costa;Vigente
34;32/2018;ASSOCIAÇÃO DOS CATADORES DE PAPEL, PAPELÃO E MATERIAIS RECICLÁVEIS DO GUARÁ (CATAGUAR);04.06.2018;Processamento de resíduos sólidos urbanos;04.06.2019;MENSAL: R$ 54.582,00 ANUAL: R$ 654.984,00;Hallana de Sousa Cardoso/ Sérgio Lopes de Oliveira/ José Romildo dos Santos;Vigente
35;33/2018;COOPERATIVA DE CATADORES DE MATERIAIS RECICLÁVEIS (RENASCER);04.06.2018;Processamento de resíduos sólidos urbanos;04.06.2019;MENSAL: R$ 21.289,80 ANUAL: R$ 255.477,60;Thais de Paiva Rodrigues Martins Lopes/ Maria Nilva Almeida Prado/ Ana Cristina Cavalcante Aranha;Vigente
