11;14/2017;ASSOCIAÇÃO DOS CATADORES DE PAPEL,PAPELÃO E MATERIAIS RECICLÁVEIS DO GUARÁ;03.07.2017;Contratação de associação de catadores de materiais recicláveis e reutilizáveis;03.07.2018;MENSAL: 18.422,00 ANUAL: 221.064,00;Paulo César Damasceno/ Jorge Antônio da Costa;Rescindido
12;15/2017;COOPERATIVA DE CATADORES DE MATERIAIS RECICLÁVEIS (RENASCER);03.07.2017;Contratação de associação de catadores de materiais recicláveis e reutilizáveis;03.07.2018;MENSAL: 3.875,99 ANUAL: 46.511,87;Elizeu Exequiel dos Santos/ Ademir Ferreira Tavares;Rescindido
13;16/2017;COOPERATIVA POPULAR DE COLETA SELETIVA DE PRODUTOS RECICLÁVEIS COM FORMAÇÃO E EDUCAÇÃO AMBIENTAL (COOPATIVA);03.07.2017;Contratação de associação de catadores de materiais recicláveis e reutilizáveis;03.07.2018;MENSAL: 5.526,60 ANUAL: 66.319,20;Valdemir Inácio Ataíde/ Elizeu Ezequiel dos Santos;Rescindido
14;17/2017;COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL(CONSTRUIR);11.07.2017;Contratação de associação de catadores de materiais recicláveis e reutilizáveis;11.07.2018;MENSAL: 7.368,80 ANUAL: 88.425,60;Valdemir Inácio Ataíde/ Elizeu Ezequiel dos Santos;Rescindido
15;24/2017;COOPERATIVA DE RECICLAGEM, TRABALHO E PRODUÇÃO (CORTRAP);-;Contratação de associação de catadores de materiais recicláveis;-;-;-;Rescindido
16;26/2017;COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS E REUTILIZÁVEIS AMBIENTAL (COOPERE);-;Contratação de associação de catadores de materiais recicláveis;-;-;-;Rescindido
17;29/2017;COOPERATIVA RECICLE A VIDA COOPERATIVA DE CATADORES DO DF (CARREFA);10.10.2017;Contratação de cooperativa de catadores de materiais recicláveis para as atividades de manejo dos resíduos da coleta seletiva em Ceilândia/DF;10.10.2018;MENSAL: R$ 23.027,50 ANUAL: R$ 276.330,00;Francisco José Vieira dos Santos/ Joaquim Rodrigues Neto;Não foi assinado
18;03/2018;COOPERATIVA AMBIENTAL DA CIDADE ESTRUTURAL (COORACE);16.01.2018;Processamento de resíduos sólidos;16.01.2020;MENSAL: R$ 29.342,00 ANUAL: R$ 1.445.273,28;Sara Evangelista Carneiro da Silva/ Gercival Soares Ribeiro/ Cleide Gonçalves Silva;Vigente
19;05/2018;COOPERATIVA VENCENDO OS OBSTÁCULOS;16.01.2018;Coleta Seletiva de resíduos recicláveis;16.01.2019;MENSAL: R$ 29.342,00 ANUAL: R$ 352.104,00;José Carlos Pereira Queiroga/ Edimar Batista Neto;Vigente
20;06/2018;COOPERATIVA DE RECICLAGEM AMBIENTAL (PLASFERRO);16.01.2018;Processamento de resíduos sólidos urbanos;16.01.2020;MENSAL: R$ 60.828,00 ANUAL: R$ 729.000,00;Hallana de Sousa Cardoso/Sérgio Lopes de Oliveira/José Romildo dos Santos;Vigente
21;07/2018;COOPERATIVA DE TRABALHO DE MATERIAL E DE EDUCAÇÃO AMBIENTAL NOVA ESPERANÇA (COOPERNOES);16.01.2018;Processamento de resíduos sólidos urbanos;16.01.2020;MENSAL: R$ 27.372,60 ANUAL: R$ 328.471,20;Thais de Paiva Rodrigues Martins Lopes/ João Costa Freire/ Maria da Guia Pereira de Azevedo;Vigente
22;08/2018;ASSOCIAÇÃO DOS AMBIENTALISTAS DA VILA ESTRUTURAL (AMBIENTE);16.01.2018;Processamento de resíduos sólidos urbanos;16.01.2020;MENSAL: R$ 304.140,00 ANUAL: R$ 3.649.680,00;Bruna Karla Soares Araújo/ Maria de Fátima Viana/ Ivani Maria de Sousa da Conceição;Vigente
