;IRR PSUL;;;;;;
Mês;;;;Quantidade Mensal;;Aproveitamento (%);
;;;;Recuperada (Ton);;;
;Janeiro;;572,21;;;46%;
Fevereiro;;;429,71;;;37%;
Março;;;485,19;;;50%;
Abril;;;510,96;;;45%;
Maio;;;608,56;;;50%;
Junho;;;598,59;;;56%;
Julho;;;584,98;;;48%;
Agosto;;;586,15;;;45%;
Setembro;;;533,13;;;42%;
Outubro;;;561,83;;;48%;
Novembro;;;623,20;;;39%;
Dezembro;;;414,62;;;48%;
Subtotal (Ton) / Média (%);;;6.509,13;;;46%;
