Taxa de Limpeza Urbana no DF;;;;
;Prevista/lançada;Realizada;Pagto.;LOA
2011;109.851.837,00;106.351.621,97;97%;106.779.837,00
2012;118.369.170,00;113.585.231,56;96%;114.818.094,00
2013;146.515.189,00;133.964.472,63;91%;142.119.733,00
2014;144.906.750,00;130.748.508,70;90%;140.559.548,00
2015;149.822.727,00;144.913.853,41;97%;127.868.045,00
2016;160.337.194,00;160.242.057,97;100%;155.527.079,00
