PESSOAL ENVOLVIDO NA LIMPEZA URBANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;A Z E P M IL L A O S S E P;;A N A B R U;;;;;Operacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Apoio;;;;;;;;;;;;;s o d a ic ife n e B s e r o d a ta C;e tn e m a te r id n I;;;;L A T O T;;
;;;;;;;;;;;;o ã ç ir r a V ir a G;;;;;r o te lo C;;;;;e tn a d u jA;;;;o d a z ilib o M /r o tin o M;r o s iv r e p u S /r;)a te lo c /o ã ç ir r a v (;;;r o d a ta C;;;;e d r o d a r e p O;a n iu q á M;;;Motorista;;;;;;;;;Diversos;;;Engenheiro / Técnico de Segurança do Trabalho;;;Médico do Trabalho /Enfermeiro / Aux. de enfermagem do trabalho;;;Administrativo/ Coordenação;;;Diversos;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;a te lo C;;;s a r tu O;s e d a d iv ita;;;;;;;;;;;;;;;;;;;;;;;;;;
;L A T N E IB M A R O L A V;;a te lo C )I E T O L (;;e la n o ic n e v n o C;;a n a b ru a z e p m il;;;951;;;;;274;;;;;0;;;;;53;;;;;0;;;28;;;;;;166;;;;;;;;;0;;;4;;;2;;;38;;;67;;;0;;;;1.583;;;;
;E R A T N E T S U S;;a te lo C )II E T O L (;;e la n o ic n e v n o C;;a n a b ru a z e p m il;;;929;;;;;248;;;;;0;;;;;20;;;;;0;;;6;;;;;;161;;;;;;;;;2;;;6;;;2;;;40;;;78;;;0;;;;1.492;;;;
;;)III E T O L ( A M U S;;e la n o ic n e v n o C a te lo C;;a n a b ru a z e p m il;;;;524;;;;;251;;;;;329;;;;;29;;;;;0;;;13;;;;;;184;;;;;;;;;20;;;5;;;2;;;11;;;137;;;0;;;;1.505;;;;
;T R O F L E B;;s o d s o u d ís e R;;e d s o ç iv re S;;e d ú a S;;;0;;;;;5;;;;;13;;;;;0;;;;;0;;;0;;;;;;7;;;;;;;;;7;;;1;;;0;;;0;;;3;;;0;;;;36;;;;
;TOTAL;;;;;;;;;;2.404;;;;;778;;;;;342;;;;;102;;;;;0;;;47;;;;;;518;;;;;;;;;29;;;16;;;6;;;89;;;285;;;0;;;;4.616;;;
