;VALORES CONTRATADOS PARA A COLETA SELETIVA INCLUSIVA POR COOPERATIVA/ASSOCIAÇÃO;;;;;;;;;;;;;
;Associação/ Cooperativa;;;Nº do contrato;;;RA Atendida;;;Valor do Contrato (anual);;;Valor Pago;
;Construir;;;23/2022;;;RA XXX - Vicente Pires (Colônia Agrícola Samambaia);;;R$524.859,30;;;R$ 500.371,54;
;Cooperdife;;;08/2022;;;RA V - Sobradinho I;;;R$751.147,72;;;R$ 715.580,65;
;Coopere;;;15/2022;;;RA XVII - Riacho Fundo I e RA XXI - Riacho Fundo II;;;R$720.933,36;;;R$ 687.297,56;
;Coopernoes;;;28/2022;;;RA XXV - SCIA/Estrutural (SCIA);;;R$532.289,26;;;R$ 506.104,11;
;Cortrap;;;20/2022;;;RA XVII - Jardim Botânico (I);;;R$672.871,35;;;R$ 629.644,50;
;CRB;;;18/2022;;;RA IV - Brazlândia;;;R$624.809,11;;;R$ 546.775,49;
;CRV;;;11/2022;;;RA XVIII - Lago Norte e RA XXIII - Varjão;;;R$597.345,11;;;R$ 524.044,13;
;CTELS;;;29/2022;;;RA XIII - Arniqueira;;;R$ 492.981,26;;;R$ 469.980,84;
;Ecolimpo;;;10/2022;;;RA XVI - São Sebastião (Jardim Mangueiral/Jardim Botânico);;;R$650.906,76;;;R$ 610.641,05;
;Flor do Cerrado;;;25/2022;;;RA VI - Planaltina (II);;;R$671.496,44;;;R$ 664.897,64;
;Nova Superação;;;27/2022;;;RA XXIX - SIA;;;R$496.673,40;;;R$ 473.500,70;
;Planalto;;;26/2022;;;RA XXVI - Sobradinho II e RA XXXI - Fercal;;;R$606.957,43;;;R$ 561.517,28;
;Plasferro;;;22/2022;;;RA XVII - Jardim Botânico (III);;;R$622.548,13;;;R$ 587.841,60;
;R3;;;16/2022;;;RA XIII - Santa Maria;;;R$707.204,93;;;R$ 670.335,15;
;Recicla Brasilia;;;12/2022;;;RA XVI - Lago Sul;;;R$792.444,84;;;R$ 789.315,74;
;Recicla Mais;;;24/2022;;;RA VI - Planaltina (I);;;R$634.690,64;;;R$ 605.078,68;
;Recicla Mais Brasil;;;09/2022;;;RA VII - Paranoá e RA XXVII - Itapõa;;;R$782.778,48;;;R$ 746.257,28;
;Recicla Mais Brasil II;;;21/2022;;;RA XVII - Jardim Botânico (II);;;R$666.006,69;;;R$ 634.933,62;
;Recicle a Vida;;;17/2022;;;RA XII - Samambaia;;;R$780.471,32;;;R$ 745.060,80;
;Reciclo;;;19/2022;;;RA XXIV - Park Way (exceto Q. 3 a 5);;;R$496.354,46;;;R$ 465.841,15;
;Renascer;;;14/2022;;;RA XIX - Candangolândia e RA VIII - Núcleo Bandeirante;;;R$591.419,18;;;R$ 538.236,98;
;Vencendo Obstáculos;;;13/2022;;;RA XI - Cruzeiro Velho;;;R$508.086,53;;;R$ 483.534,57;
;TOTAL;;;;;;;;;R$ 13.432.294,44;;;R$ 13.156.791,06;
