33/2024;VCS COMERCIO E SERVICOS DE CHAVEIROS;20/08/2024;EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE CHAVEIRO;;;20/08/2025;R$ 3.632,00;SÉRGIO FERNANDES DE FARIA,;
;;;;;;;;JOSANE;
;;;;;;;;NASCIMENTO DE OLIVEIRA;
34/2024;ÁGUA MINERAL IBIA LTDA;21/08/2024;;FORNECIMENTO PARCELADO DE ÁGUA,;;21/08/2025;R$ 14.030,00;MARIA DE JESUS DA SILVA E EDSON RODRIGUES DA SILVA;
;;;;POTÁVEL, TIPO DE MESA, SEM GÁS,;;;;;
;;;;PROVENIENTE DE FONTES NATURAIS OU DE;;;;;
;;;;FONTES ARTIFICIALMENTE CAPTADAS.;;;;;
;;;;A UNIDADE DE FORNECIMENTO É REFERENTE AO;;;;;
;;;;GARRAFÃO COM 20 LITROS;;;;;
35/2024;FORT GÁS LTDA;29/08/2024;;AQUISIÇÃO DE GÁS ENGARRAFADO - GÁS;;29/08/2025;R$ 10.500,00;MARIA DE JESUS DA SILVA E EDSON;
;;;;LIQUEFEITO DE PETRÓLEO (GLP);;;;RODRIGUES DA SILVA;
37/2024;GLOBALSEC TECNOLOGIA DA INFORMAÇÃO LTDA;23/09/2024;;AQUISIÇÃO, SOB DEMANDA, DE CERTIFICADOS;;23/09/2025;R$ 824,00;GABRIEL MENDES DOS SANTOS, MARCONE MENDONÇA DE ARAUJO;
;;;;DIGITAIS A3, DO TIPO E- CPF, COM;;;;;
;;;;FORNECIMENTO DE TOKEN (DISPOSITIVO DE;;;;;
;;;;CRIPTOGRÁFICO), VÁLIDOS POR NO MÍNIMO 36;;;;;
;;;;(TRINTA E SEIS) MESES, E CERTIFICADO DIGITAL;;;;;
;;;;A1, DO TIPO E- CPNPJ, VÁLIDO POR 12 (DOZE);;;;;
;;;;MESES, AMBOS DENTRO DAS ESPECIFICAÇÕES E;;;;;
;;;;NORMAS DO ICP-BRASIL, NAS;;;;;
;;;;CONDIÇÕES ESTABELECIDAS NO TERMO DE;;;;;
;;;;REFERÊNCIA.;;;;;
16/2021;FRAL;25/08/2021;;PRESTAÇÃO DE SERVIÇOS DE ASSESSORIA,;;16/08/2025;R$ 340.223,28;LEONARDO YAMADA ARANTES, MAURÍCIO DE GOIS GOMES, WANDERLEY DAS CHAGAS ALBUQUERQUE, LUCAS DIOGO CAIXETA;
;;;;CONSULTORIA, ORIENTAÇÃO E ASSISTÊNCIA;;;;;
;;;;OPERACIONAL EM APOIO À FISCALIZAÇÃO DAS;;;;;
;;;;ATIVIDADES GERAIS DO ATERRO SANITÁRIO DE;;;;;
;;;;BRASÍLIA - ASB, LOCALIZADO NA RODOVIA DF;;;;;
;;;;180, KM 21, BRASÍLIA - DF;;;;;
11/2023;UATUMÃ TURISMO E EVENTOS EIRELI;27/09/2023;AGENCIAMENTO DE VIAGENS;;;26/09/2025;R$ 53.730,00;THAYANE DAS NEVES SOARES, BRUNA TOLEDO DE ARAUJO MELO;
12/2023;CONSÓRCIO SUSTENTARE- VALOR II;10/08/2023;OPERAÇÃO E MANUTENÇÃO DAS ETAPAS 3 E 4;;;10/11/2027;R$ 135.526.380,00;WANDERLEY DAS CHAGAS;
;;;;;;;;ALBUQUERQUE, LEONARDO;
;;;;;;;;YAMADA ARANTES, MAURÍCIO DE;
;;;;;;;;GOIS GOMES, LUCAS DIOGO;
;;;;;;;;CAIXETA;
13/2023;OTC.DOC;11/08/2023;;TRATAMENTO ARQUIVÍSTICO DE DOCUMENTOS;;10/08/2025;R$ 2.651.497,72;ROGER FRAGOSO SOUZA, MARIA DE JESUS DA SILVA, FLAVIANA SILVA OLIVEIRA.;
;;;;E PROCESSOS, DIGITALIZAÇÃO E;;;;;
;;;;MICROFILMAGEM QUE PASSAM A INTEGRAR O;;;;;
;;;;PRESENTE TERMO.;;;;;
