COOPERATIVAS DE CATADORES SEM CONTRATO COM O SLU;;;;;;;;
N°;Nome;N° de Catadores;;;Total de catadores;RA da prestação do Serviço;Presidente/Responsável;Contato
;;Coleta Seletiva;Triagem (sem contrato);;;;;
1;Catamare**;;18;;18;Ceilândia;Antônia;99851-8117
2;Acapas**;;40;;40;Asa Norte;Luzia;99955-9567
3;Planalto***;;41;;41;Sobradinho;Ricardo;9816-3607
4;ARCAN;;22;;22;Candangolândia (Cerrado);Moises;sem contato
5;POP de Rua;;51;;51;Paranoá (não declarou local);Mairla;9353-5175
6;Acoplano;;20;;20;Paranoá (Cerrado);Socorro;98667-9448
7;Ageplan;;43;;43;Asa Norte (Cerrado);Francisco;98170-5587
8;Flor do Cerrado;;28;;28;Asa Norte (Cerrado);Marcos;99596-2904
9;Superação;;21;;21;Samambaia;Leda;99434-9179/ 98450-7448
10;Reciclo;;25;;25;Samambaia;Nívia;98497-5269
11;Sonho de Liberdade;;50;;50;Cidade Estrutural;Fernando;98449-3255
SUBTOTAL;;;359;;359;;;
N°;;N° de Catadores TOTAL DF;;;Total de catadores;;;
;;Coleta Seletiva;Triagem;;;;;
;;;c/contrato;s/contrato;;;;
33;;44;1.213;400;1613;;;
Obs.: O número total de catadores é o somatório de todos os catadores declarados e em atividade no DF, independente de terem ou não contrato com o SLU.;;;;;;;;
*Novo contrato em análise **Processam resíduos da coleta seletiva do SLU ***Processam resíduos da coleta convencional do SLU;;;;;;;;
Obs.: O número de catadores atuantes nas cooperativas que não têm contrato com o SLU é declarado.;;;;;;;;
