;;;;;;Curso on-line: Capacitação no sistema de Gestão de Contratos;;;;;;1;
;;;;;;Videoconferência: Dependência Química - Conhecendo o Programa de Atenção ao Dependente;;;;;;1;
;;;;;;Videoconferência: Dicas Práticas para uso do SISCONEP;;;;;;1;
;;;;;;Curso on-line: Gestão de conflitos e resolução consensual na administração pública;;;;;;1;
;;;;;;Videoconferência: Liderança e Gestão participativa;;;;;;2;
;;;;;;Videoconferência: Marco Regulatório das Organizações da Sociedade (MROSC);;;;;;1;
;;;;;;Curso on-line: O que motiva alguém a continuar engajado no trabalho?;;;;;;1;
;;;;;;Curso on-line: Segurança no trabalho;;;;;;1;
;;;;;;Videoconferência: Transparência, ética e controle social;;;;;;1;
;;;;;;Videoconferência: Tratamento de acervo arquivísticos;;;;;;1;
;;;;;;Videoconferência: 3º Congresso nacional sobre atuação da assessoria jurídica em licitações;;;;;;1;
;;;;;;Curso Videoconferência: Comunicação Não Violenta no Trabalho;;;;;;1;
;;;;;;Sistema de Gestão de Convênios e Contratos de Repasse (SICONV) Módulo I: Projetos, propostas;;ENAP;;;1;;
;;;;;;e plano de trabalho;;;;;;;
;;;;;;Curso on-line Sistema Eletrônico de Informação - SEI;;;;;;1;
;;;;;;Curso on-line: Noções Introdutórias de Licitação e Contratos Administrativos;;;;;;1;
;;;;;;Curso on-line: Curso Básico de Licitações - Enfrentado (e vencendo) Tabus;;;;;;1;
;;;;;;Curso on-line: Gestão da estratégia com BSC – Fundamentos;;;;;;1;
;;;;;;Curso on-line: Semana da Licitação: Desvendando a Nova Lei de Licitação e Contratos;;;;;3;;
;;;;;;Administrativos;;;;;;;
;;;;;;Curso on-line: eSocial para Órgãos Públicos - RPPS;;;;;;4;
;;;;;;Curso on-line: Sistema Eletrônico da Informação;;;ANP;;;1;
;;;;SUBTOTAL DE SERVIDORES;;;;;;;;73;
;E R T S E M IR T º 3;;CURSO;;;Curso on-line: Gestão Integrada de Resíduos Sólidos Urbanos;;;UNIABES;;;11;
;;;;;;Curso on-line: Dependência Química - Conhecendo o Programa de Atenção ao Dependente;;EGOV;;;;1;
;;;;;;Curso on-line: Conceitos básicos da Lei Geral de Proteção de Dados (LGP) e de segurança da;;;;;1;;
;;;;;;Informação;;;;;;;
;;;;;;Curso on-line: Liderança e gestão participativa;;;;;;1;
;;;;;;Curso a distância: Gestão e Fiscalização de Contratos;;;;;;2;
;;;;;;Curso presencial: Gestão da informação e relatórios de ouvidoria;;;;;;1;
;;;;;;Curso on-line: Marco Regulatório das Organizações da Sociedade Civil (MROSC) – Módulo: Manual;;;;;1;;
;;;;;;MROSC – DF;;;;;;;
;;;;;Curso presencial: Lei Geral de Proteção de Dados (LGPD) aplicada às ouvidorias públicas;;;;;;;3;
;;;;;;Curso presencial: Redação oficial;;;;;;2;
;;;;;;Curso presencial: Planejamento Estratégico em ouvidoria;;;;;;2;
;;;;;;Curso presencial: Gestão de riscos com base na NBR ISO 31000/2018;;;;;;28;
;;;;;;Curso on-line: Capacitação para Gestores Setoriais do SEI-GDF: Atualização de conceitos e prática;;;;;;2;
;;;;;;Curso presencial: Lei nº 8.666/93 - licitações e contratos;;;;;;29;
;;;;;;Curso on-line: Atendimento inclusivo e acessível em ouvidoria;;;;;;2;
