;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Lote I;;;8.950,25;;;8.044,45;;;9.332,93;;;8.346,00;;;9.023,52;;;9.026,87;;;9.046,64;;;9.408,04;;;9.039,23;;;8.989,56;;;9.037,81;;;9.322,25;;;107.567,55;;;8.963,96;
;Lote II;;;4.765,15;;;4.507,61;;;5.118,70;;;4.571,33;;;4.996,82;;;4.970,22;;;4.954,95;;;5.139,17;;;4.930,61;;;4.970,22;;;4.954,95;;;5.143,66;;;59.023,39;;;4.918,62;
;Lote III;;;4.036,88;;;3.744,41;;;4.214,99;;;3.581,97;;;3.874,01;;;4.063,78;;;4.112,44;;;4.234,10;;;3.840,91;;;3.945,14;;;3.611,59;;;3.901,09;;;47.161,31;;;3.930,11;
;Total;;;17.752,28;;;16.296,47;;;18.666,62;;;16.499,30;;;17.894,35;;;18.060,87;;;18.114,03;;;18.781,31;;;17.810,75;;;17.904,92;;;17.604,35;;;18.367,00;;;213.752,25;;;17.812,69;
