4;RECICLE A VIDA;51;;;;;;;;;;;;;;;;;;;;;51
5;APCORC;115;;;;;;;;;;;;;;;;;;;;;115
6;CATAGUAR;74;;;;;;;;;;;;;;;;;;;;;74
7;COOPERE;37;;;;;;;;;;;;;;;;;;;;;37
8;COOPATIVA;22;;;;;;;;;;;;;;;;;;;;;22
9;RENASCER;23;;;;;;;;;;;;;;;;;;;;;23
10;COORACE;42;;;;;;;;;;;;;;;;;;;;;42
11;CONSTRUIR;62;;;;;;;;;;;;;;;;;;;;;62
12;COOPERNOES;36;;;;;;;;;;;;;;;;;;;;;36
13;CORTRAP;64;;;;;;;;;;;;;;;;;;;;;64
14;RECICLA MAIS BRASIL;51;;;;;;;;;;;;;;;;;;;;;51
15;PLASFERRO;48;;;;;;;;;;;;;;;;;;;;;48
16;COOPERLIMPO;59;;;;;;;;;;;;;;;;;;;;;59
17;RENOVE;119;;;;;;;;;;;;;;;;;;;;;119
18;COOPERDIFE;41;;;;;;;;;;;;;;;;;;;;;41
19;Recicla BSB;35;;;;;;;;;;;;;;;;;;;;;35
20;Sustentare - Usina L4 Sul;0;-;9;2;1;13;6;2;1;-;2;6;3;3;5;-;2;1;-;-;-;56
21;Valor Ambiental - Usina Psul;0;3;12;18;4;-;27;1;1;3;-;7;5;3;7;1;2;1;3;6;-;104
22;GAE - Operação e Manutenção ASB;0;-;-;4;-;42;1;1;-;6;-;4;3;-;-;1;-;-;3;6;1;72
Total;;1033;63;36;47;6;88;38;8;4;9;2;20;12;6;12;3;5;2;7;13;2;1416
