;MÊS;;;QUANTIDADE;
;Janeiro;;9;;
;Fevereiro;;0;;
;Março;;12;;
;Abril;;22;;
;Maio;;9;;
;Junho;;7;;
;Julho;;1;;
;Agosto;;8;;
;Setembro;;10;;
;Outubro;;16;;
;Novembro;;14;;
;Dezembro;;7;;
;TOTAL;;;115;
