Processos de TCE em andamento no período;;;
QTD.;PROCESSO Nº;VALOR APURADO;FINALIZADO EM
1;00094-00000699/2019-98 Relatório nº 01/2018 DINCS/COLES/ COGEI/SUBCI/CGDF;R$ 50.787.292,00 (Contrato nº 12/2012) e R$ 13.271.951,87 (Contrato nº 13/2012) Total: 67.059.243,87 (valor sem atualização);Em andamento. Processo SEI nº 00020-00022457/2020-52. MANDADO DE SEGURANÇA - CONCLUSO PARA SENTENÇA.
2;00094-00006744/2019-18 Decisão 3962/2019 – TCDF Parecer Ministerial nº 606/2019-G3P;Não há valor apurado.;Em andamento.
