Aterro do Jóquei - Aterramento 2018 ( R$);;
Mês;Custo de Operação do ACJ;Custo por tonelada para aterramento
Janeiro;1.054.266,95;30,25
TOTAL;1.054.266,95;
TOTAL GERAL;1.054.266,95;
