;1º TRIMESTRE;;;;
;EVENTO;;;PARTICPANTES;
Homenagem aos Servidores Aposentados;;;25;;
SUMI-E - workshop de arte meditativa em alusão ao janeiro branco;;;23;;
Roda de Conversa – “Vamos Falar de Saúde Mental?”;;;12;;
POA - Programa de Orientação para Aposentadoria - Neuróbica a importância de exercitar o cérebro;;;24;;
Coffee-break - Abertura da Semana da Mulher no SLU;;;80;;
Saúde da Mulher;;;33;;
Cine Debate – Mulan;;;8;;
Promoção de Saúde – UNINTER;;;39;;
Aula de Forró;;;27;;
POA - Desenvolvimento Humano, Autoconhecimento e Projetos de Vida;;;17;;
Ginástica Laboral;;;471;;
Aferição de Pressão Arterial e Bioimpedância;;;17;;
Assistência aos Servidores;;;61;;
