;;;Fundamentos da Gestão da Logística Pública;;;1;;
;;;Ética e Serviço Público;;;3;;
;;;Comunicação não violenta;;;1;;
;;;Era Digital, Planejamento Estratégico e Inovação na Gestão Pública;;;1;;
;;;Comunicação Pública e Gestão de Relacionamento com Cidadão;;;2;;
;;;Planejamento Estratégico para Organizações Públicas;;;1;;
;;;Avaliação da qualidade de serviços como base para gestão e melhoria de serviços públicos;;;1;;
;;;Gestão de Equipes em Trabalho Remoto;;;1;;
;;;Sistema Eletrônico de Informações - SEI! USAR;;;1;;
;;;Transformação Digital no Serviço Público;;;1;;
;;;Estratégias de Logística na Administração Pública;;;1;;
;;;Qualificação em Dimensionamento da Força de Trabalho;;;1;;
;;;Contabilidade com Foco na Gestão do Orçamento Público;;;1;;
;;;Inteligência Artificial no Contexto do Serviço Público;;;1;;
;;;Gestão da Inovação no Setor Público;;;2;;
;;;Serviços Públicos e Defesa do usuário;;;1;;
;;;Gestão de Riscos em Processos de Trabalho;;;1;;
;;;Boas Práticas em Contratos de Serviços Terceirizados;;;1;;
;;;Administração Pública e Contexto Institucional Contemporâneo;;;2;;
;;;Introdução à Aplicação do Plano de Contratação Anual;;;1;;
;;;Valores Culturais da Natureza;;;2;;
;;;Projeto de interface para Serviços Digitais;;;1;;
;;;Inovação em Compras Governamentais para a Segurança Pública;;;1;;
;;;Gestão de Conflitos e Negociação;;;2;;
;;;Fundamentos da transformação digital: mapeamento e automação de processos;;;1;;
;;;Gestão do Conhecimento - Teoria e Práticas;;;1;;
;;;E-liderança: como gerenciar e liderar equipes em ambientes remotos;;;2;;
;;;Uso de Mídias Sociais na Comunicação Institucional;;;1;;
;;;Atuação Gerencial das Ouvidorias para Melhoria da Gestão Pública;;;1;;
;;;Introdução à Gestão de Riscos;;;1;;
;;;Introdução ao Excel;;;1;;
;;;Contratações Públicas Sustentáveis;;;1;;
;;;International Futures e Painéis Covid-19: cenários e prospecção de futuro;;;1;;
;;;Gestão e Fiscalização de Contratos Administrativos;;;1;;
;;;Assédio na Administração Pública - Combate e Prevenção;;;1;;
;;;Introdução à Vigilância Sanitária;;;1;;
;;;Mediação de Conflitos e comunicação Não Violenta;CATÓLICA;;2;;
;;;Tecnologia e Sustentabilidade;;;2;;
;;;Educação Popular e Direitos Humanos;;;1;;
;;;Direitos Humanos;;;2;;
;;;Gestão Ambiental;;;1;;
;;;Fraternidade e Políticas Públicas: Rumo à Justiça Social;;;1;;
;;;Gestão e Avaliação de Riscos em Saúde Ambiental;ABELINE;;1;;
;;;Nova Lei de Licitações e Contratos - Teoria e Aplicações;TCDF;;1;;
;;;Encontro Técnico Nacional de Auditoria de Obras Públicas;;;1;;
;;;Qualidade de Vida no Trabalho;UNOVA;;1;;
;;;Informática Avançada;;;1;;
;;;Desenvolvimento Sustentável;;;1;;
;;CERTIFICADOS EMITIDOS NO 2º TRIMESTRE;;;;;169;
