;DESPESAS COM ÁGUA, LUZ, TELEFONE, IPTU E TLP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Empresa;;;JAN;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;AGO;;;SET;;OUT;;NOV;DEZ;;;TOTAL;
;Neoenergia;;R$ 100.863;;R$ 130.147;;;R$ 86.121;;;R$ 99.911;;;R$ 134.226;;;R$ 112.729;;;R$ 119.805;;;R$ 39.417;;R$ 34.039;;;R$ 101.927;;R$ 107.960;R$ 97.937;;;R$ 1.165.083;
;Caesb;;R$ 35.469;;R$ 32.872;;;R$ 34.940;;;R$ 29.685;;;R$ 28.680;;;-;;;-;;;-;;R$ 14.596;;;R$ 46.735;;R$ 43.577;R$ 46.792;;;R$ 313.346;
;Telefonia Fixa;;R$ 11.817;;R$ 11.487;;;R$ 11.512;;;R$ 11.596;;;R$ 11.516;;;R$ 11.431;;;R$ 11.597;;;R$ 11.561;;R$ 11.500;;;R$ 11.479;;R$ 11.428;R$ 11.701;;;R$ 138.625;
;Telefonia Móvel;;-;;-;;;-;;;-;;;-;;;-;;;-;;;-;;-;;;-;;-;-;;;-;
;TLP;;-;;-;;;-;;;-;;;-;;;-;;;-;;;-;;-;;;-;;-;-;;;R$ 54.432;
;IPTU;;-;;-;;;-;;;-;;;-;;;-;;;-;;;-;;R$ 15.348;;;-;;-;-;;;R$ 110.857;
;TOTAL MENSAL;;;R$ 148.150;;R$ 174.506;;;R$ 132.574;;;R$ 141.192;;;R$ 324.362;;;R$ 124.160;;;R$ 131.401;;R$ 50.978;;;R$ 75.483;;R$ 160.141;;R$ 162.965;R$ 156.430;;;R$ 1.782.343;
